"Species","Longitude","Latitude","State","Locality","year","month","identifier","Elevation"
"Cacicus chrysopterus",-54.58,-25.36,"Alto Paraná","Refugio Biológico Tati Yupi, Dpto. Alto Paraná",2016,7,"OBS421225884",225.4
"Cacicus chrysopterus",-55.157481,-26.062623,"Alto Paraná","Doctor Juan León Mallorquín, Departamento de Alto Paraná, PY (-26.063, -55.157)",2018,2,"OBS575641635",232.12
"Cacicus chrysopterus",-57.641833,-30.196,"Artigas","Área de Protección Ambiental Rincón de Franquía",2018,5,"OBS612691304",39.49
"Cacicus chrysopterus",-57.577973,-30.20002,"Artigas","Trajeto para a Ilha Brasileira",2016,10,"OBS439264334",44.13
"Cacicus chrysopterus",-57.344078,-30.290107,"Artigas","Estancia ""La Palma""",2017,11,"OBS552038526",50.45
"Cacicus chrysopterus",-57.343783,-30.290348,"Artigas","Las Palmas",2017,11,"OBS547524961",50.45
"Cacicus chrysopterus",-57.343805,-30.290371,"Artigas","Las Palmas",2017,11,"OBS548389316",50.45
"Cacicus chrysopterus",-57.572356,-25.249005,"Asunción","Asunción Jardin Botanico",2016,7,"OBS416486052",86.66
"Cacicus chrysopterus",-58.782354,-34.109214,"Buenos Aires","Otamendi, de 3ra balsa a Camping Cielo",2017,3,"OBS473891349",5.49
"Cacicus chrysopterus",-55.766667,-26.233333,"Caazapá","Tapyta, Caazapá (Paraguay Central)",2017,7,"OBS518525970",176.4
"Cacicus chrysopterus",-57.374902,-25.301248,"Central","Playa Municipal Aregua",2016,6,"OBS410105704",84.9
"Cacicus chrysopterus",-57.287847,-25.384693,"Central","Campo Livio",2016,8,"OBS433878695",76.26
"Cacicus chrysopterus",-57.305409,-25.410049,"Central","PY-Departamento Central (-25,4100,-57,3054)",2018,7,"OBS641655501",131.75
"Cacicus chrysopterus",-57.53262,-25.454023,"Central","Camino Ypane - Villeta, Ypané, Tetãvore Central, PY (-25,454, -57,533)",2018,10,"OBS669207685",84.15
"Cacicus chrysopterus",-57.538518,-25.458306,"Central","Ytororo, Ypané, Tetãvore Central, PY (-25,458, -57,539)",2018,5,"OBS611416985",65.67
"Cacicus chrysopterus",-57.558477,-25.481061,"Central","Camino Ypane - Villeta, Departamento Central, PY (-25,481, -57,558)",2018,11,"OBS672477661",60.7
"Cacicus chrysopterus",-57.558618,-25.481106,"Central","Desembocadura, Arroyo Avay - Villeta",2018,5,"OBS625085472",60.7
"Cacicus chrysopterus",-57.566986,-25.505961,"Central","Villeta",2017,10,"OBS545551595",61.55
"Cacicus chrysopterus",-53.732667,-32.132167,"Cerro Largo","Paso Centurión",2018,4,"OBS617826336",85.59
"Cacicus chrysopterus",-53.734088,-32.138699,"Cerro Largo","Paso Centurion",2018,2,"OBS579413819",91.41
"Cacicus chrysopterus",-53.762844,-32.139231,"Cerro Largo","Paso Centurión Tours",2018,5,"OBS618828342",118.07
"Cacicus chrysopterus",-53.726301,-32.142753,"Cerro Largo","Localidad desconocida - (-32,143, -53,726)",2018,4,"OBS598246485",95.62
"Cacicus chrysopterus",-53.726964,-32.14283,"Cerro Largo","Establecimiento Dr Felipe Cantera, Paso Centurion y Rincon de Paiva",2016,5,"OBS681158936",95.62
"Cacicus chrysopterus",-53.730121,-32.146756,"Cerro Largo","UY-Cerro Largo-Sección 04 Cerro Largo (-32,1468,-53,7301)",2017,10,"OBS543847357",91.41
"Cacicus chrysopterus",-53.721471,-32.155559,"Cerro Largo","Paso Paiva",2018,2,"OBS579810650",95.62
"Cacicus chrysopterus",-54.186974,-32.366043,"Cerro Largo","Bio Parque de Melo",2016,3,"OBS379909670",104.33
"Cacicus chrysopterus",-59.899,-25.8113,"Chaco","Defensa",2016,8,"OBS426597177",102.33
"Cacicus chrysopterus",-59.938666,-26.04303,"Chaco","Pampa del Indio, Chaco, AR (-26.043, -59.939)",2018,10,"OBS672140587",93.92
"Cacicus chrysopterus",-59.968159,-26.277028,"Chaco","Ruta Provincial 4, Chaco, AR (-26.277, -59.968)",2017,12,"OBS565779678",99.15
"Cacicus chrysopterus",-59.968356,-26.27725,"Chaco","PP Pampa del Indio campground and trail",2016,4,"OBS396645136",97.81
"Cacicus chrysopterus",-59.037984,-26.68108,"Chaco","La Quelita ",2016,5,"OBS408888134",71.61
"Cacicus chrysopterus",-59.200988,-26.727827,"Chaco","Ruta 90 entre empalme Ruta 11 y empalme Ruta 3",2016,9,"OBS431554520",72.04
"Cacicus chrysopterus",-58.742158,-26.770403,"Chaco","Estancia El Paraiso",2016,12,"OBS455007982",63.94
"Cacicus chrysopterus",-59.593671,-26.787094,"Chaco","NA",2016,9,"5558002",78.87
"Cacicus chrysopterus",-58.964139,-26.790054,"Chaco","puente sobre rio de oro",2016,5,"OBS505235311",67.55
"Cacicus chrysopterus",-59.618404,-26.793218,"Chaco","Parque Nacional Chaco",2018,7,"OBS663288530",81.06
"Cacicus chrysopterus",-59.618393,-26.79322,"Chaco","NA",2017,4,"18743015",81.06
"Cacicus chrysopterus",-58.905782,-26.794474,"Chaco","NA",2019,7,"29074568",67.49
"Cacicus chrysopterus",-59.611702,-26.794802,"Chaco","NA",2016,9,"20510005",81.06
"Cacicus chrysopterus",-59.593673,-26.798123,"Chaco","NA",2016,9,"5558457",78.87
"Cacicus chrysopterus",-59.584856,-26.804444,"Chaco","Chaco NP--entrance area",2018,1,"OBS571099306",78.87
"Cacicus chrysopterus",-59.607303,-26.805786,"Chaco","Parque Nacional Chaco, camp ground and hanging bridge trail",2016,4,"OBS396356456",81.06
"Cacicus chrysopterus",-59.613876,-26.80584,"Chaco","PN Chaco",2018,1,"OBS578103555",81.06
"Cacicus chrysopterus",-59.606705,-26.808447,"Chaco","Parque Nacional Chaco, AR (-26,808, -59,607)",2018,10,"OBS670869769",78.77
"Cacicus chrysopterus",-59.605833,-26.808611,"Chaco","PN Chaco",2016,8,"OBS426088403",78.77
"Cacicus chrysopterus",-59.597343,-26.810723,"Chaco","Unnamed Road, Chaco, AR (-26.811, -59.597)",2018,11,"OBS674354358",78.26
"Cacicus chrysopterus",-59.591315,-26.810723,"Chaco","Unnamed Road, Chaco, AR (-26,811, -59,591)",2017,9,"OBS545550502",78.26
"Cacicus chrysopterus",-59.596997,-26.810745,"Chaco","Unnamed Road, Chaco, AR (-26.811, -59.597)",2018,11,"OBS674760111",78.26
"Cacicus chrysopterus",-59.597158,-26.810936,"Chaco","AR-Chaco-Sargento Cabral (-26,8109,-59,5972)",2018,12,"OBS688489589",78.26
"Cacicus chrysopterus",-59.59695,-26.810939,"Chaco","Unnamed Road, Chaco, AR (-26,811, -59,597)",2017,10,"OBS545551747",78.26
"Cacicus chrysopterus",-59.597056,-26.810974,"Chaco","(-26.811, -59.597)",2018,1,"OBS565120640",78.26
"Cacicus chrysopterus",-59.597035,-26.811024,"Chaco","Q Los Quebrachos",2016,11,"OBS444574753",78.26
"Cacicus chrysopterus",-59.597054,-26.811041,"Chaco","AR-Chaco-Sargento Cabral (-26,8110,-59,5971)",2018,12,"OBS688487663",78.26
"Cacicus chrysopterus",-59.596978,-26.811108,"Chaco","Localidad desconocida - (-26,811, -59,597)",2017,11,"OBS578095152",78.26
"Cacicus chrysopterus",-59.612709,-26.812501,"Chaco","Parque Nacional Chaco, first 1000m of Laguna Cabra road",2016,4,"OBS396359622",78.77
"Cacicus chrysopterus",-59.620133,-26.82267,"Chaco","PN Chaco, Rallera de Quebracho and first 800m to Mirador Palmar",2016,4,"OBS396623625",78.77
"Cacicus chrysopterus",-59.627433,-26.867768,"Chaco","Mirador Panza del Cabra",2016,11,"OBS449595804",75.26
"Cacicus chrysopterus",-59.015518,-26.892545,"Chaco","El Cachapé (AICA CH01)",2018,5,"OBS625866923",65.57
"Cacicus chrysopterus",-58.771926,-26.920493,"Chaco","Unnamed Road, Chaco, AR (-26,92, -58,772)",2018,4,"OBS596687169",60.26
"Cacicus chrysopterus",-58.779087,-26.920845,"Chaco","Establecimiento Ibiri",2018,6,"OBS627554059",60.26
"Cacicus chrysopterus",-58.777567,-26.921634,"Chaco","Unnamed Road, Chaco, AR (-26.922, -58.778)",2018,1,"OBS564936604",60.26
"Cacicus chrysopterus",-58.754861,-26.93694,"Chaco","LAS ROSAS",2018,4,"OBS599590156",59.36
"Cacicus chrysopterus",-59.517652,-26.942888,"Chaco","Colonia Elisa, Chaco, AR (-26.943, -59.518)",2018,5,"OBS613042734",71.03
"Cacicus chrysopterus",-58.652959,-26.945286,"Chaco","futura reserva",2018,1,"OBS568084521",57
"Cacicus chrysopterus",-58.654332,-26.951453,"Chaco","General Vedia, Chaco",2017,1,"OBS462034274",57
"Cacicus chrysopterus",-58.614678,-26.971315,"Chaco","Tres Horquetas",2016,8,"OBS422707135",57.47
"Cacicus chrysopterus",-58.681744,-26.97824,"Chaco","CAMPO EL X",2018,1,"OBS569927556",58.53
"Cacicus chrysopterus",-58.681726,-26.978574,"Chaco","Establecimiento ""El X""",2018,6,"OBS635167984",58.53
"Cacicus chrysopterus",-58.863877,-26.979445,"Chaco","Lapachito",2017,4,"OBS482871833",61.8
"Cacicus chrysopterus",-58.716216,-26.979987,"Chaco","Cabral Cué",2018,1,"OBS565205458",59.49
"Cacicus chrysopterus",-58.708491,-26.981899,"Chaco","Paraje Sol de Mayo",2018,1,"OBS567418052",59.49
"Cacicus chrysopterus",-58.634403,-26.983588,"Chaco","michita cuè",2017,7,"OBS522334176",58
"Cacicus chrysopterus",-58.715959,-26.986259,"Chaco","Sol de Mayo",2018,1,"OBS573215018",58.43
"Cacicus chrysopterus",-58.736043,-26.991613,"Chaco","La Leonesa - riacho Quia",2018,5,"OBS622797083",58.86
"Cacicus chrysopterus",-58.726022,-27.033235,"Chaco","Ruta 1 pavimentada",2017,5,"OBS499008314",57.7
"Cacicus chrysopterus",-58.704929,-27.038028,"Chaco","La Leonesa",2018,5,"OBS624992703",57.1
"Cacicus chrysopterus",-58.708607,-27.043553,"Chaco","La Leonesa (zona urbana)",2018,8,"OBS650997800",57.89
"Cacicus chrysopterus",-58.717589,-27.051377,"Chaco","LOTR 4",2018,6,"OBS629787606",57.89
"Cacicus chrysopterus",-58.722231,-27.055964,"Chaco","Unnamed Road, Chaco, AR (-27.056, -58.722)",2018,4,"OBS596194991",57.89
"Cacicus chrysopterus",-58.718877,-27.065882,"Chaco","Cancha Larga",2018,1,"OBS571362222",57
"Cacicus chrysopterus",-58.851039,-27.073265,"Chaco","AR-Chaco - Laguna Patos -27,073x-58,851 - 19/03/2016 23:01",2018,8,"OBS656589480",59.96
"Cacicus chrysopterus",-58.652959,-27.100928,"Chaco","Caminos de Tierra - La Leonesa",2016,9,"OBS650922239",55.48
"Cacicus chrysopterus",-58.634183,-27.113139,"Chaco","Boquita del Quia",2018,3,"OBS591018131",54.52
"Cacicus chrysopterus",-58.644118,-27.118549,"Chaco","PUERTO LAS PALMAS",2018,1,"OBS566045199",55.48
"Cacicus chrysopterus",-58.788657,-27.137674,"Chaco","Yatay",2016,8,"OBS422954788",56.93
"Cacicus chrysopterus",-58.870733,-27.139622,"Chaco","Puente Nacional Río Guaycuru",2018,9,"OBS656589888",59.35
"Cacicus chrysopterus",-58.869338,-27.13966,"Chaco","Rio Guaycuru",2017,7,"OBS520695933",59.35
"Cacicus chrysopterus",-58.784133,-27.155027,"Chaco","Yatay",2017,10,"OBS541686446",56.47
"Cacicus chrysopterus",-58.699393,-27.164529,"Chaco","Laguna El Palmar (AICA CH02)",2018,7,"OBS646228928",51.07
"Cacicus chrysopterus",-58.792026,-27.17657,"Chaco","campo la guitarra",2018,3,"OBS593186056",57.65
"Cacicus chrysopterus",-58.690724,-27.223848,"Chaco","Limita..rio Ancho",2017,7,"OBS518983599",54.39
"Cacicus chrysopterus",-58.597377,-27.24439,"Chaco","camino desde el puerto de las palmas a la isla del cerrito",2018,10,"OBS669631193",51.46
"Cacicus chrysopterus",-59.233605,-27.258265,"Chaco","Unnamed Road, Laguna Blanca, Chaco, AR (-27,258, -59,234)",2018,10,"OBS672148686",62.08
"Cacicus chrysopterus",-59.036107,-27.278548,"Chaco","Establecimiento San Rafael",2018,5,"OBS618079313",58.28
"Cacicus chrysopterus",-59.036096,-27.278562,"Chaco","Margarita Belen",2017,10,"OBS545834947",58.28
"Cacicus chrysopterus",-59.049026,-27.287719,"Chaco","Reserva San Rafael",2017,10,"OBS544906160",58.28
"Cacicus chrysopterus",-59.04905,-27.287962,"Chaco","Unnamed Road, Chaco, AR (-27.288, -59.049)",2018,5,"OBS617533578",58.28
"Cacicus chrysopterus",-58.619614,-27.290028,"Chaco","Isla del Cerrito (AICA CH02)",2017,7,"OBS526993829",50.18
"Cacicus chrysopterus",-58.632773,-27.300905,"Chaco","NA",2016,9,"20508589",47.7
"Cacicus chrysopterus",-58.721623,-27.307036,"Chaco","Camino entre Resistencia e Isla del Cerrito",2016,9,"OBS431538919",50.27
"Cacicus chrysopterus",-58.950373,-27.318952,"Chaco","Reserva Natural Educativa Colonia Benítez",2016,7,"OBS421440491",54.34
"Cacicus chrysopterus",-58.969386,-27.334264,"Chaco","Los Chaguares, Colonia Benitez, Chaco, AR (-27.334, -58.969)",2018,5,"OBS614540928",54.09
"Cacicus chrysopterus",-59.067118,-27.354779,"Chaco","Unitan, Chaco, AR (-27,355, -59,067)",2018,10,"OBS665855697",56.33
"Cacicus chrysopterus",-58.890677,-27.382163,"Chaco","Afueras de Colonia Benítez",2018,6,"OBS637845518",51.94
"Cacicus chrysopterus",-58.982141,-27.389792,"Chaco","Parque Norte Caraguatá",2018,8,"OBS645959528",54.84
"Cacicus chrysopterus",-58.933797,-27.403471,"Chaco","avenida sarmiento 5100",2016,6,"OBS410086728",52.61
"Cacicus chrysopterus",-59.210693,-27.425297,"Chaco","Estancia Fortín Cué",2016,8,"OBS425650318",56.87
"Cacicus chrysopterus",-58.869617,-27.428157,"Chaco","Puente sobre Río Tragadero",2016,9,"OBS430197565",50.6
"Cacicus chrysopterus",-58.868705,-27.42865,"Chaco","Unnamed Road, Chaco, AR (-27.429, -58.869)",2018,7,"OBS639891581",50.6
"Cacicus chrysopterus",-58.949804,-27.430518,"Chaco","mi casa",2018,8,"OBS647631862",52.77
"Cacicus chrysopterus",-59.052361,-27.444249,"Chaco","Aeropuerto Resistencia",2018,5,"OBS624719357",54
"Cacicus chrysopterus",-59.048767,-27.444916,"Chaco","NA",2018,6,"20868240",54
"Cacicus chrysopterus",-58.984259,-27.457939,"Chaco","570 Obligado, Resistencia, Chaco, AR (-27,458, -58,984)",2018,10,"OBS665263949",52.79
"Cacicus chrysopterus",-58.933445,-27.530094,"Chaco","COLONIA TACUARI",2018,7,"OBS642907419",49.49
"Cacicus chrysopterus",-58.913798,-27.587159,"Chaco","Colonia Tacuari",2017,2,"OBS463483438",49.69
"Cacicus chrysopterus",-58.988675,-27.641594,"Chaco","Laguna Estirada (AICA CH02)",2017,11,"OBS593325098",49.61
"Cacicus chrysopterus",-58.993106,-27.722208,"Chaco","Colonia Tacuari",2016,2,"OBS373987482",46.51
