"Supplementary_Data_3: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,,,
"Species","longitude","latitude","state","locality","year","month","identifier","seasson","Elevation"
"Cacicus chrysopterus",-46.473782,-21.812843,"Minas Gerais","Recanto dos lagos",2018,3,"OBS595226683","fall",1378.77
"Cacicus chrysopterus",-44.696937,-22.229044,"Minas Gerais","RPPN François Robert Arthur - Itamonte / MG",2016,6,"OBS421278077","wint",1540.48
"Cacicus chrysopterus",-44.572687,-22.319371,"Minas Gerais","Trilha Maringá -  Alcantilado - Bocaina de Minas-MG",2017,4,"OBS485825221","fall",1189.06
"Cacicus chrysopterus",-44.57053,-22.321294,"Minas Gerais","BR-Minas Gerais-Maringá - -22,321x-44,571 - 15/04/2017 9:04 PM",2017,4,"OBS486116532","fall",1189.06
"Cacicus chrysopterus",-44.612127,-22.328345,"Minas Gerais","NA",2018,5,"14025989","fall",1432.42
"Cacicus chrysopterus",-44.531193,-22.329971,"Rio de Janeiro","Visconde de Mauá--área geral",2018,6,"OBS632033416","wint",1098.12
"Cacicus chrysopterus",-44.531987,-22.330257,"Rio de Janeiro","Visconde de Mauá",2016,1,"OBS363883774","sum",1098.12
"Cacicus chrysopterus",-44.525403,-22.350181,"Rio de Janeiro","Parque Estadual da Pedra Selada",2018,10,"OBS665006533","spri",976.07
"Cacicus chrysopterus",-44.796072,-22.352963,"Minas Gerais","Itamonte--RPPN Alto Montana",2018,3,"OBS594022814","fall",1552.81
"Cacicus chrysopterus",-44.55135,-22.354053,"Rio de Janeiro","Vale da Grama",2016,1,"OBS363883631","sum",1129.42
"Cacicus chrysopterus",-44.73429,-22.355908,"Minas Gerais","(-22.3559,-44.7343) Araucaria Tit-Spinetail spot down hill from the Itatiaia NP checkpoint station",2018,10,"OBS698889816","spri",2060.19
"Cacicus chrysopterus",-44.734746,-22.362522,"Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)",2018,4,"OBS608308976","fall",1919.23
"Cacicus chrysopterus",-44.724612,-22.36484,"Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)",2018,7,"OBS643045954","wint",2136.3
"Cacicus chrysopterus",-44.725223,-22.365088,"Rio de Janeiro","Unnamed Road, Minas Gerais, BR (-22,365, -44,725)",2017,9,"OBS530739042","spri",2136.3
"Cacicus chrysopterus",-44.746156,-22.36607,"Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG; 1700-2200m)",2018,7,"OBS643537394","wint",1919.23
"Cacicus chrysopterus",-44.737891,-22.366355,"Minas Gerais","BR-485, Itamonte BR-MG (-22.3664,-44.7379)",2018,7,"OBS641124029","wint",1919.23
"Cacicus chrysopterus",-44.7334,-22.3667,"NA","Itatiaia National Park - Agulhas Negras road",2016,8,"332914@XC","wint",1919.23
"Cacicus chrysopterus",-44.740896,-22.367758,"Minas Gerais","Parque Nacional do Itatiaia, parte alta, Itamonte,BR (-22,368, -44,741)",2017,9,"OBS530739367","spri",1919.23
