"Table S12: Filtered occurrences retrieved from Global Biodiversity Information Facility, GBIF.org (04/28/2020; GBIF Occurrence Download DOI 10.15468/dl.8383sp; (Available as supplementary data and in Github: https://doi.org/10.5281/zenodo.5510615 (https://github.com/GregoryThom/)).",,,,,,,
"name","longitude","latitude","catalogNumber","stateProvince","pop","locality","elevation"
"Tangara desmaresti",-40.5537,-19.8065,"OBS444357743","Espírito Santo","north","Santa Teresa -- Quinta do Mendes",764.36
"Synallaxis cinerascens",-43.090445,-19.853755,"OBS347874021","Minas Gerais","north","Área Arcellor Mittal",747.54
"Tangara desmaresti",-40.562725,-19.898698,"OBS349840857","Espírito Santo","north","Quinta do Mendes",870.32
"Muscipipra vetula",-40.565207,-19.904759,"OBS136574206","Espírito Santo","north","RB Augusto Ruschi (Nova Lombardia), Santa Teresa",829.76
"Muscipipra vetula",-40.553155,-19.907308,"OBS268317895","Espírito Santo","north","Reserva Biológica Augusto Ruschi (Nova Lombardia)",829.76
"Piculus aurulentus",-40.590026,-19.925784,"OBS326720344","Espírito Santo","north","BR-ES / Santa Teresa - pousada paradiso",743.83
"Mackenziaena leachii",-43.875232,-19.935027,"OBS456922818","Minas Gerais","north","Taquaril",976.71
"Muscipipra vetula",-43.875232,-19.935027,"OBS456924846","Minas Gerais","north","Taquaril",991.71
"Synallaxis cinerascens",-43.875232,-19.935027,"OBS456931852","Minas Gerais","north","Taquaril",991.71
"Muscipipra vetula",-40.600278,-19.935556,4381,"Espírito Santo","north","Na capoeira fazendo ninho.",758.12
"Mackenziaena leachii",-43.781075,-19.953907,"OBS456553581","Minas Gerais","north","Região de Sabará-Raposos",909.01
"Synallaxis cinerascens",-43.781075,-19.953907,"OBS456553565","Minas Gerais","north","Região de Sabará-Raposos",954.15
"Drymophila rubricollis",-44.120935,-19.954632,"OBS438508018","Minas Gerais","north","PARNA Serra do Gandarela/Santa Bárbara",891.88
"Muscipipra vetula",-44.120935,-19.954632,"OBS438508017","Minas Gerais","north","PARNA Serra do Gandarela/Santa Bárbara",881.07
"Piculus aurulentus",-44.120935,-19.954632,"OBS438508067","Minas Gerais","north","PARNA Serra do Gandarela/Santa Bárbara",892.98
"Synallaxis cinerascens",-44.120935,-19.954632,"OBS438508080","Minas Gerais","north","PARNA Serra do Gandarela/Santa Bárbara",881.07
"Synallaxis cinerascens",-43.185,-19.96717,"OBS316701762","Minas Gerais","north","Floresta Encantada",695.25
"Synallaxis cinerascens",-43.18526,-19.96733,"OBS316700968","Minas Gerais","north","Reserva JM",695.25
"Tangara desmaresti",-44.185533,-19.968179,"OBS441184023","Minas Gerais","north","BR-Minas Gerais-Betim-142 Rua Queluz - -19,968x-44,186",824.07
"Piculus aurulentus",-43.549762,-20.008245,"OBS347893044","Minas Gerais","north","Serra do Gandarela",990.78
"Tangara desmaresti",-43.549762,-20.008245,"OBS347893005","Minas Gerais","north","Serra do Gandarela",973.37
"Muscipipra vetula",-43.50988,-20.06002,"OBS349125219","Minas Gerais","north","Caraca km 15",1156.18
"Drymophila rubricollis",-43.671839,-20.060578,"OBS501166097","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1411.64
"Mackenziaena leachii",-43.671839,-20.060578,"OBS454160105","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1410.62
"Muscipipra vetula",-43.671839,-20.060578,"OBS501166116","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1322.28
"Piculus aurulentus",-43.671839,-20.060578,"OBS426759609","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1410.62
"Synallaxis cinerascens",-43.671839,-20.060578,"OBS501166109","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1322.28
"Tangara desmaresti",-43.671839,-20.060578,"OBS454160266","Minas Gerais","north","Parque Nacional da Serra do Gandarela - Santa Bárbara",1411.64
"Tangara desmaresti",-40.968363,-20.062704,"OBS424271096","Espírito Santo","north","BR-Espírito Santo-Afonso Cláudio - -20,063x-40,968 - 20 de ago de 2016 09:22",1099.98
"Tangara desmaresti",-40.968361,-20.062903,"OBS438897009","Espírito Santo","north","RPPN bugio e Cia",1099.98
"Piculus aurulentus",-40.990504,-20.070882,"OBS438933463","Espírito Santo","north","Alto Santa Joana",1079.93
"Tangara desmaresti",-40.990504,-20.070882,"OBS438939146","Espírito Santo","north","Alto Santa Joana",1075.61
"Muscipipra vetula",-43.51082,-20.07575,"OBS349406467","Minas Gerais","north","Caraça roadside 1",1156.18
"Tangara desmaresti",-41.018042,-20.092522,"OBS438904896","Espírito Santo","north","Alto 3 Pontões",1035.86
"Piculus aurulentus",-41.01789,-20.09277,"OBS362138079","Espírito Santo","north","Mata Fria",1072.5
"Mackenziaena leachii",-43.983604,-20.094042,"OBS433081599","Minas Gerais","north","Serra da Calçada - Brumadinho / MG",1339.91
"Synallaxis cinerascens",-43.48838,-20.09734,"OBS349343069","Minas Gerais","north","Caraça",1462.25
"Tangara desmaresti",-43.48838,-20.09734,"OBS349259089","Minas Gerais","north","Caraça",1537.73
"Drymophila rubricollis",-43.488417,-20.097742,"OBS335446265","Minas Gerais","north","Santuário do Caraça--área geral",1537.73
"Heliobletus contaminatus",-43.488417,-20.097742,"OBS336020112","Minas Gerais","north","Santuário do Caraça--área geral",1496.56
"Mackenziaena leachii",-43.488417,-20.097742,"OBS445495974","Minas Gerais","north","Santuário do Caraça--área geral",1496.56
"Muscipipra vetula",-43.488417,-20.097742,"OBS349417051","Minas Gerais","north","Santuário do Caraça--área geral",1462.25
"Piculus aurulentus",-43.488417,-20.097742,"OBS408807360","Minas Gerais","north","Santuário do Caraça--área geral",1496.56
