"Table S11: Demographic parameter estimation based on a two population (Tropical and Subtropical) model for 21 species of birds restricted to the Atlantic Forest sky-islands. ",,,,,,,,,,,
"Species","Ne Tropical","Ne Subtropical","Ne Ancestral","Tdiv","t Tropical","t Subtropical","M_S>N","M_N>S","Ne change North","Ne change South","Likelihood"
"Piculus aurulentus","216,750 (185,472/523,465)","292,345 (174,254/457,896)","1,101 (13,020/462,012)","415,165 (350,214/435.236)","250,359 (175,896/235,789)","199,024 (187,965/215,369)","2.15 (0.9/3.15)","1.73 (0.85/2.05)","1.6 (-0.4/2.6)","0.4 (0.5/3.7)","-12,023.56"
"Cacicus chrysopterus","724,358 (125,478/698,125)","46,866 (58,254/136,275)","475,566 (48,965/897,462)","529,122 (398,895/610,895)","77,388 (57,821/78,324)","401,828 (330,214/415,214)","1.86 (0.75/2.42)","0.19 (1.2/2.51)","-4.4 (-8.4/-1.2)","1.8 (0.8/4.9)","-1,871.53"
"Synallaxis cinerascens","115,178 (46,254/118,463)","41,872 (36,547/154,695)","1,161,567 (562,401/1,600,254)","229,789 (168,789/410,215)","149,657 (138,265/155,221)","13,252 (15,248/39,587)","2.35 (1.9/2.8)","0.11 (0.89/2.14)","-5.1 (-9.3/-0.8)","0.6 (0.0/2.1)","-6,755.69"
"Heliobletus contaminatus","27,586 (25,479/157,984)","337,930 (258,637/330,179)","137,195 (184,002/625,361)","255,426 (175,895/238,981)","33,024 (12,257/31,479)","2,985 (5,456/15,248)","2.02 (0.7/1.86)","0.02 (0.16/3.45)","3.3 (0.2/5.6)","-5.9 (-1.3/9.4)","-10,155.68"
"Tangara desmaresti","405,554 (120,896/350,208)","150,273 (78,796/128,634)","480,404 (364,218/954,125)","496,150 (426,924/630,154)","25,307 (27,781/38,569)","476,071 (324,489/455,239)","2.92 (1.2/2.6)","0.12 (0.15/2.14)","-4.8 (-10.4/-3.4)","3.0 (0.1/4.9)","-10,187.20"
"Stephanophorus diadematus","879,446 (120,258/750,147)","220,948 (65,806/222,558)","126,226 (98,854/702.549)","86,117 (82,214/101,235)","34,462 (22,179/38,254)","29,761 (28,457/68,975)","6.21 (1.5/3.2)","0.16 (0.02/2.65)","-6.0 (-22.6/-2.3)","-1.7 (-0.9/3.4)","-596.92"
"Phylloscartes difficilis","256,990 (45,896/254,874)","63,680 (60,547/135,249)","1,643 (24,258/645,125)","300,702 (287,563/402,145)","187,158 (100,245/223,321)","115,967 (100,241/170,365)","2.28 (0.7/2.52)","2.24 (0.98/2.45)","0.9 (-2.1/6.4)","-1.6 (-1.4/1.2)","-7,773.43"
"Stephanoxis lalandi","329,366 (138,654/420,127)","130,151 (67,984/257,124)","497,080 (369,875/1,002,154)","369,263 (222,548/330,254)","64,959 (63,218/88,446)","309,586 (250,147/305,268)","3.26 (1.63/2.42)","0.08 (0.53/2.67)","-4.4 (-13.5/-1.6)","3.0 (0.8/12.8)","-20,125.88"
"Poospiza lateralis","465,775 (254,795/568,457)","270,324 (157,732/658,241)","1,061 (6,245/589,147)","122,822 (121,589/254,783)","47,445 (22,164/112,336)","41,987 (40,215/85,697)","5.75 (1.3/3.73)","6.73 (2.65/4.23)","-1.8 (-3.4/3.6)","-0.6 (-1.5/2.2)","-8,212.42"
"Mackenziaena leachii","69,798 (26,716/89,205)","93,166 (12,497/110,245)","161,953 (75,896/254,147)","411,885 (385,421/432,195)","87,357 (54,821/98,652)","41,155 (35,147/65,236)","3.02 (1.25/3.24)","0.05 (0.02/2.36)","-1.32 (-4.2/3.9)","-0.5 (-1.3/4.2)","-5,441.65"
