,"region","sp","family","Kipps","guild","env","iso1","iso2","dist","Dgeo_m$dist","resist_dist$dist","saz_dist$dist","sta_dist$dist","re_sa_dist$dist","re_st_dist$dist","sa_st_dist$dist","sa_re_st_dist$dist","TDIV","resist_resi","saz_resi","sta_resi"
"119","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_MPEGT6553_S","S_LGEMA18852_S",0.209302325581389,486,52.5330223138862,32.0035876749853,33.4194433289925,20.5336828110036,33.0781117344208,35.155793420045,33.6799881832311,415165,-61.2307033227767,-57.4658079781865,-76.4300507124529
"107","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_MPEGT6553_S","S_LGEMA18851_S",0.395348837209306,481,60.8215895357274,32.4167633714036,34.091421111833,22.8033695374463,33.7269621094366,35.8789698580412,34.7505637742389,415165,-52.094301082301,-56.6408480046967,-75.004265148511
"94","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_LGEMA18852_S","S_LGEMA18805_S",0.247093023255819,335,28.6890150071408,23.9477626654365,20.9079720578582,14.5613355400142,20.472202928058,21.7907766077599,22.9454461812502,415165,-59.4700930667602,-53.0857478201766,-66.1765269943239
"93","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_LGEMA18851_S","S_LGEMA18805_S",0.276162790697674,332,36.981487426892,24.3441688642908,21.5550987726263,16.8174926819256,21.0972538655956,22.4889475777689,24.005494341664,415165,-50.6689196358283,-52.4422710550794,-65.0771156108949
"28","NN","aurulentus","pici",17.31,"Insectivorous","Canopy","N_LGEMA18760_Nm","N_LGEMA18752_Nm",0.668604651162788,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,415165,-31.371118525762,-49.4521996073655,-36.594453874008
"120","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_PUC4959_S","S_LGEMA18852_S",0.01,241,53.0154384268594,25.0195192401169,19.3218763598157,18.4152042592057,19.0425625982647,20.2525337847279,18.1028489771563,415165,-19.2043712967129,-44.2724468365524,-53.5910364076594
"132","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_PUC4959_S","S_MPEGT6553_S",0.252906976744182,285,78.136684231339,30.0774546414963,30.8935622980394,23.4260114126818,30.5739813684332,32.6348169874046,32.0735729552829,415165,-1.54407365621694,-42.838213073402,-48.6528589431283
"108","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_PUC4959_S","S_LGEMA18851_S",0.19186046511628,226,61.0742480855353,25.2287115625322,19.7603616180482,20.589328257164,19.4624940380721,20.7342557347422,19.1066029961199,415165,-8.60205658213352,-42.8279016829227,-50.8911278061226
"106","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_LGEMA18852_S","S_LGEMA18851_S",0.124999999999995,28,22.5361575222967,9.07113822120722,12.0952974166676,7.87265988245435,11.7444315331056,12.77672246653,11.4831187182064,415165,-13.5658804074458,-42.6788176522171,-28.7054038758864
"96","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_PUC4959_S","S_LGEMA18805_S",0.046511627906964,160,54.1597093908584,21.6009479767752,17.9401350616925,16.9671729000408,17.550993289743,18.8219381896441,20.742164696783,415165,-4.325173030835,-41.0201128113362,-42.7610916519394
"95","SS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_MPEGT6553_S","S_LGEMA18805_S",0.377906976744177,151,46.1583370785665,21.5647966420272,26.9304609171283,14.1783625029406,26.4999756857236,28.5763334934085,28.0973513669936,415165,-10.8004423095848,-40.3150524473555,-32.413911790521
"10","NS","aurulentus","pici",17.31,"Insectivorous","Canopy","S_LGEMA18852_S","N_LGEMA18608_Nb",0.776162790697674,796,154.080975395486,100.984980700287,132.168997614437,99.6940437702487,128.09338403346,134.722957258023,146.502769312336,415165,-12.2485213965161,-14.0150401313164,-24.4165788552973
