"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Cacicus chrysopterus (Vigors, 1825)","-49.585277","-27.999849","Santa Catarina",NA,"2019","5","25010039"
"2","Cacicus chrysopterus (Vigors, 1825)","-65.862779","-27.292888","Tucumán",NA,"2019","7","30844696"
"3","Cacicus chrysopterus (Vigors, 1825)","-58.905782","-26.794474","Chaco",NA,"2019","7","29074568"
"4","Cacicus chrysopterus (Vigors, 1825)","-44.615444","-22.432028","Rio de Janeiro",NA,"2019","8","31447023"
"5","Cacicus chrysopterus (Vigors, 1825)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571723012"
"6","Cacicus chrysopterus (Vigors, 1825)","-58.30684","-26.84673","Ñeembucú","Baso Militar, Pilar, Transecto3 Punto4","2018","1","OBS592807509"
"7","Cacicus chrysopterus (Vigors, 1825)","-58.303379","-26.847271","Ñeembucú","Military Base BFLY Transect 4","2018","1","OBS575599751"
"8","Cacicus chrysopterus (Vigors, 1825)","-57.582936","-25.076477","Presidente Hayes","Estancia Golondrina (-25.0765,-57.5829)","2018","1","OBS572961225"
"9","Cacicus chrysopterus (Vigors, 1825)","-59.597056","-26.810974","Chaco","(-26.811, -59.597)","2018","1","OBS565120640"
"10","Cacicus chrysopterus (Vigors, 1825)","-56.8","-26.08","Paraguarí","Parque Nacional Ybycui, Dpto. Paraguari","2018","1","OBS569971400"
"11","Cacicus chrysopterus (Vigors, 1825)","-65.321623","-24.172518","Jujuy","Los Perales","2018","1","OBS570463557"
"12","Cacicus chrysopterus (Vigors, 1825)","-52.50727","-31.619215","Rio Grande do Sul","Santuário Nossa Senhora de Guadalupe","2018","1","OBS568003687"
"13","Cacicus chrysopterus (Vigors, 1825)","-58.299074","-26.394551","Formosa","estancia don luis","2018","1","OBS563829721"
"14","Cacicus chrysopterus (Vigors, 1825)","-58.708491","-26.981899","Chaco","Paraje Sol de Mayo","2018","1","OBS567418052"
"15","Cacicus chrysopterus (Vigors, 1825)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570685504"
"16","Cacicus chrysopterus (Vigors, 1825)","-52.432856","-28.081065","Rio Grande do Sul","Coxilha, Rio Grande do Sul, BR (-28,081, -52,433)","2018","1","OBS567150524"
"17","Cacicus chrysopterus (Vigors, 1825)","-55.8","-26.43","Itapúa","Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)","2018","1","OBS570865798"
"18","Cacicus chrysopterus (Vigors, 1825)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564185399"
"19","Cacicus chrysopterus (Vigors, 1825)","-58.30179","-26.84939","Ñeembucú","Baso Militar, Pilar","2018","1","OBS592724641"
"20","Cacicus chrysopterus (Vigors, 1825)","-57.692495","-24.968587","Presidente Hayes","Estancia Golondrina","2018","1","OBS575247059"
"21","Cacicus chrysopterus (Vigors, 1825)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS572536159"
"22","Cacicus chrysopterus (Vigors, 1825)","-58.26494","-26.533142","Formosa","Unnamed Road, Formosa, AR (-26,533, -58,265)","2018","1","OBS572602316"
"23","Cacicus chrysopterus (Vigors, 1825)","-58.681744","-26.97824","Chaco","CAMPO EL X","2018","1","OBS569927556"
"24","Cacicus chrysopterus (Vigors, 1825)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS562559984"
"25","Cacicus chrysopterus (Vigors, 1825)","-58.02079","-25.811338","Formosa","Unnamed Road, Formosa, AR (-25,811, -58,021)","2018","1","OBS564495478"
"26","Cacicus chrysopterus (Vigors, 1825)","-58.652959","-26.945286","Chaco","futura reserva","2018","1","OBS568084521"
"27","Cacicus chrysopterus (Vigors, 1825)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564355188"
"28","Cacicus chrysopterus (Vigors, 1825)","-58.57035","-27.313615","Corrientes","Paso de la Patria, Corrientes, AR (-27.314, -58.57)","2018","1","OBS569195221"
"29","Cacicus chrysopterus (Vigors, 1825)","-64.633333","-24.7","Salta","PN El Rey","2018","1","OBS572984633"
"30","Cacicus chrysopterus (Vigors, 1825)","-52.626674","-31.551659","Rio Grande do Sul","Morro Redondo--Pousada da Cachoeira, Arroio Cadeia","2018","1","OBS566777619"
