"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Chamaeza ruficauda Cabanis & Heine, 1859","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS570487622"
"2","Chamaeza ruficauda Cabanis & Heine, 1859","-44.844561","-23.151116","São Paulo","(-23,1511,-44,8446)","2018","1","OBS571548236"
"3","Chamaeza ruficauda Cabanis & Heine, 1859","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS562559982"
"4","Chamaeza ruficauda Cabanis & Heine, 1859","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399845"
"5","Chamaeza ruficauda Cabanis & Heine, 1859","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663262"
"6","Chamaeza ruficauda Cabanis & Heine, 1859","-44.584091","-22.649526","São Paulo","1 Rua Olímpio, São Paulo, BR (-22,65, -44,584)","2018","1","OBS640489524"
"7","Chamaeza ruficauda Cabanis & Heine, 1859","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577379"
"8","Chamaeza ruficauda Cabanis & Heine, 1859","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995475"
"9","Chamaeza ruficauda Cabanis & Heine, 1859","-46.023926","-22.882438","Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)","2018","2","OBS578079804"
"10","Chamaeza ruficauda Cabanis & Heine, 1859","-45.375728","-22.426078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,426, -45,376)","2018","2","OBS579599368"
"11","Chamaeza ruficauda Cabanis & Heine, 1859","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430639"
"12","Chamaeza ruficauda Cabanis & Heine, 1859","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579889054"
"13","Chamaeza ruficauda Cabanis & Heine, 1859","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS639937353"
