"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Drymophila rubricollis (W.Bertoni, 1901)","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469408@XC"
"2","Drymophila rubricollis (W.Bertoni, 1901)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571518532"
"3","Drymophila rubricollis (W.Bertoni, 1901)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS571310130"
"4","Drymophila rubricollis (W.Bertoni, 1901)","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","1","OBS566690941"
"5","Drymophila rubricollis (W.Bertoni, 1901)","-53.981667","-26.520717","Misiones","PP Cruce Caballero","2018","1","OBS578100879"
"6","Drymophila rubricollis (W.Bertoni, 1901)","-48.409262","-24.267632","São Paulo","Unknown Location - (-24.268, -48.409)","2018","1","OBS573119716"
"7","Drymophila rubricollis (W.Bertoni, 1901)","-45.282589","-22.523847","Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,524x-45,283","2018","1","OBS568400735"
"8","Drymophila rubricollis (W.Bertoni, 1901)","-54.168783","-25.857317","Misiones","PP Urugua-í Seccional Uruzú","2018","1","OBS568201149"
"9","Drymophila rubricollis (W.Bertoni, 1901)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577333"
"10","Drymophila rubricollis (W.Bertoni, 1901)","-49.919206","-27.013474","Santa Catarina","Rua Amazonas, Santa Catarina, BR (-27,013, -49,919)","2018","2","OBS580440086"
"11","Drymophila rubricollis (W.Bertoni, 1901)","-45.280202","-22.521239","Minas Gerais","Minas Gerais, BR (-22,521, -45,28)","2018","2","OBS573332955"
"12","Drymophila rubricollis (W.Bertoni, 1901)","-45.104885","-23.354864","São Paulo","PE Serra do Mar--Núcleo Santa Virgínia","2018","2","OBS578546451"
"13","Drymophila rubricollis (W.Bertoni, 1901)","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430668"
"14","Drymophila rubricollis (W.Bertoni, 1901)","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS580745264"
"15","Drymophila rubricollis (W.Bertoni, 1901)","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995427"
"16","Drymophila rubricollis (W.Bertoni, 1901)","-49.917967","-27.012657","Santa Catarina","Floresta da Rua Amazonas","2018","2","OBS580917581"
"17","Drymophila rubricollis (W.Bertoni, 1901)","-45.375728","-22.426078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,426, -45,376)","2018","2","OBS579599378"
"18","Drymophila rubricollis (W.Bertoni, 1901)","-49.222241","-26.764059","Santa Catarina","Morro Azul","2018","2","OBS579263654"
"19","Drymophila rubricollis (W.Bertoni, 1901)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","3","OBS585784626"
"20","Drymophila rubricollis (W.Bertoni, 1901)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS639937347"
"21","Drymophila rubricollis (W.Bertoni, 1901)","-45.845598","-23.533139","São Paulo","Museu da Energia Usina de Salesópolis","2018","3","OBS587443914"
"22","Drymophila rubricollis (W.Bertoni, 1901)","-48.907727","-25.333925","Paraná","83420, Quatro Barras BR-PR (-25.3339,-48.9077)","2018","3","OBS593785842"
"23","Drymophila rubricollis (W.Bertoni, 1901)","-54.2645","-26.689778","Misiones","Reserva Privada Yaguaroundi (AICA MI13)","2018","3","OBS596382554"
"24","Drymophila rubricollis (W.Bertoni, 1901)","-49.356976","-26.645141","Santa Catarina","Rio dos Cedros -- Barragem","2018","3","OBS589400066"
"25","Drymophila rubricollis (W.Bertoni, 1901)","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859424"
"26","Drymophila rubricollis (W.Bertoni, 1901)","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS604739615"
"27","Drymophila rubricollis (W.Bertoni, 1901)","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164210"
"28","Drymophila rubricollis (W.Bertoni, 1901)","-49.136305","-27.666935","Santa Catarina","Unnamed Road, Santa Catarina, BR (-27,667, -49,136)","2018","4","OBS599422353"
"29","Drymophila rubricollis (W.Bertoni, 1901)","-45.414219","-22.717943","São Paulo","Estrada das Pedrinhas--Até pousada Sta. Maria da Serra","2018","5","OBS617575522"
"30","Drymophila rubricollis (W.Bertoni, 1901)","-53.959458","-25.859822","Misiones","Bio Reserva Karadya (AICA MI04)","2018","5","OBS612435663"
