"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Dysithamnus xanthopterus Burmeister, 1856","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469395@XC"
"2","Dysithamnus xanthopterus Burmeister, 1856","-45.129048","-23.22996","São Paulo","Sítio Cotinga","2018","1","OBS702318525"
"3","Dysithamnus xanthopterus Burmeister, 1856","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS573201657"
"4","Dysithamnus xanthopterus Burmeister, 1856","-48.409262","-24.267632","São Paulo","Unknown Location - (-24.268, -48.409)","2018","1","OBS573119729"
"5","Dysithamnus xanthopterus Burmeister, 1856","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","1","OBS566690928"
"6","Dysithamnus xanthopterus Burmeister, 1856","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166680"
"7","Dysithamnus xanthopterus Burmeister, 1856","-46.292653","-23.773406","São Paulo","Paranapiacaba--PNM Nascentes de Paranapiacaba","2018","1","OBS571722722"
"8","Dysithamnus xanthopterus Burmeister, 1856","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399813"
"9","Dysithamnus xanthopterus Burmeister, 1856","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430608"
"10","Dysithamnus xanthopterus Burmeister, 1856","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","2","OBS575675895"
"11","Dysithamnus xanthopterus Burmeister, 1856","-46.288919","-23.767436","São Paulo","PNM Nascentes de Paranapiacaba-Estrada do Taquaruçu","2018","3","OBS584558349"
"12","Dysithamnus xanthopterus Burmeister, 1856","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2018","3","OBS594022827"
"13","Dysithamnus xanthopterus Burmeister, 1856","-46.396079","-23.324196","São Paulo","Guarulhos--AMBEV/PE Itaberaba","2018","3","OBS588374442"
"14","Dysithamnus xanthopterus Burmeister, 1856","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923778"
"15","Dysithamnus xanthopterus Burmeister, 1856","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859445"
"16","Dysithamnus xanthopterus Burmeister, 1856","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS599995288"
"17","Dysithamnus xanthopterus Burmeister, 1856","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS604771140"
"18","Dysithamnus xanthopterus Burmeister, 1856","-49.516969","-28.504539","Santa Catarina","Santa Catarina, BR (-28,505, -49,517)","2018","4","OBS608318871"
"19","Dysithamnus xanthopterus Burmeister, 1856","-44.734746","-22.362522","Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)","2018","4","OBS608308988"
"20","Dysithamnus xanthopterus Burmeister, 1856","-44.828996","-23.175727","Rio de Janeiro","Rio de Janeiro, BR (-23,176, -44,829)","2018","4","OBS615661160"
"21","Dysithamnus xanthopterus Burmeister, 1856","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164225"
"22","Dysithamnus xanthopterus Burmeister, 1856","-49.518991","-28.504864","Santa Catarina","Treviso--Trilha dos Dois Dedos","2018","4","OBS608328825"
"23","Dysithamnus xanthopterus Burmeister, 1856","-45.293951","-22.506995","Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39","2018","5","OBS612120495"
"24","Dysithamnus xanthopterus Burmeister, 1856","-45.232507","-22.540341","Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira","2018","5","OBS627228276"
"25","Dysithamnus xanthopterus Burmeister, 1856","-45.414219","-22.717943","São Paulo","Estrada das Pedrinhas--Até pousada Sta. Maria da Serra","2018","5","OBS617575520"
"26","Dysithamnus xanthopterus Burmeister, 1856","-48.941879","-25.309036","Paraná","Rodovia da Graciosa, Paraná, BR (-25,309, -48,942)","2018","5","OBS612292014"
"27","Dysithamnus xanthopterus Burmeister, 1856","-46.743228","-23.985753","São Paulo","Marsilac, São Paulo BR-SP (-23.9858,-46.7432)","2018","5","OBS611008704"
"28","Dysithamnus xanthopterus Burmeister, 1856","-45.588286","-22.735976","São Paulo","Campos do Jordão - SP","2018","5","OBS625207630"
"29","Dysithamnus xanthopterus Burmeister, 1856","-48.913552","-25.337227","Paraná","Estrada do Corvo","2018","5","OBS612258786"
"30","Dysithamnus xanthopterus Burmeister, 1856","-48.273625","-24.308774","São Paulo","Parque Estadual Intervales","2018","5","OBS614839429"
"31","Dysithamnus xanthopterus Burmeister, 1856","-42.58484","-22.351568","Rio de Janeiro","Pico da Caledônia","2018","6","OBS635873507"
"32","Dysithamnus xanthopterus Burmeister, 1856","-42.584816","-22.342365","Rio de Janeiro","Estrada ao Pico da Caledônia","2018","6","OBS628606651"
"33","Dysithamnus xanthopterus Burmeister, 1856","-46.03051","-22.875414","Minas Gerais","Estalagem Spiler","2018","6","OBS635458855"
"34","Dysithamnus xanthopterus Burmeister, 1856","-45.397195","-22.629471","Minas Gerais","Estrada Divisa Charco/Parque ESTADUAL DE CAMPOS DO JORDÃO--MG/SP","2018","7","OBS646019767"
"35","Dysithamnus xanthopterus Burmeister, 1856","-44.821473","-23.153105","Rio de Janeiro","Trilha Dos 7 Degraus","2018","7","OBS640395788"
"36","Dysithamnus xanthopterus Burmeister, 1856","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","7","OBS639282907"
"37","Dysithamnus xanthopterus Burmeister, 1856","-44.746156","-22.36607","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG; 1700-2200m)","2018","7","OBS643537395"
"38","Dysithamnus xanthopterus Burmeister, 1856","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","7","OBS647556544"
