"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Elaenia mesoleuca (Deppe, 1830)","-46.828","-23.667073","São Paulo","Parque Natural do Embu","2018","1","OBS567266101"
"2","Elaenia mesoleuca (Deppe, 1830)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399785"
"3","Elaenia mesoleuca (Deppe, 1830)","-50.973264","-28.877894","Rio Grande do Sul","Caxias do Sul--Criúva","2018","1","OBS565738249"
"4","Elaenia mesoleuca (Deppe, 1830)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS573119531"
"5","Elaenia mesoleuca (Deppe, 1830)","-50.808933","-28.897019","Rio Grande do Sul","PE Palanq","2018","1","OBS565386665"
"6","Elaenia mesoleuca (Deppe, 1830)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564733602"
"7","Elaenia mesoleuca (Deppe, 1830)","-50.821965","-28.884815","Rio Grande do Sul","PE Jus","2018","1","OBS564728643"
"8","Elaenia mesoleuca (Deppe, 1830)","-46.537269","-23.68878","São Paulo","Paranapiacaba","2018","1","OBS566957004"
"9","Elaenia mesoleuca (Deppe, 1830)","-50.817848","-28.948103","Rio Grande do Sul","PE Ctrle","2018","1","OBS564465429"
"10","Elaenia mesoleuca (Deppe, 1830)","-49.468138","-28.99531","Santa Catarina","Remanescente Bromélias","2018","1","OBS570175715"
"11","Elaenia mesoleuca (Deppe, 1830)","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS570713679"
"12","Elaenia mesoleuca (Deppe, 1830)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166676"
"13","Elaenia mesoleuca (Deppe, 1830)","-50.798547","-28.972539","Rio Grande do Sul","PE Criuva","2018","1","OBS565180177"
"14","Elaenia mesoleuca (Deppe, 1830)","-44.844561","-23.151116","São Paulo","(-23,1511,-44,8446)","2018","1","OBS571556451"
"15","Elaenia mesoleuca (Deppe, 1830)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564481613"
"16","Elaenia mesoleuca (Deppe, 1830)","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS570481139"
"17","Elaenia mesoleuca (Deppe, 1830)","-50.580228","-29.442807","Rio Grande do Sul","São Francisco de Paula--área geral","2018","1","OBS572628927"
"18","Elaenia mesoleuca (Deppe, 1830)","-47.02393","-24.363986","São Paulo","Guaraú--área geral","2018","1","OBS566366887"
"19","Elaenia mesoleuca (Deppe, 1830)","-49.826713","-29.139199","Santa Catarina","Unnamed Road, Santa Catarina, BR (-29,139, -49,827)","2018","1","OBS677621428"
"20","Elaenia mesoleuca (Deppe, 1830)","-49.289807","-25.470341","Paraná","Talken Água Verde","2018","1","OBS568998431"
"21","Elaenia mesoleuca (Deppe, 1830)","-49.64758","-25.432247","Paraná","Estrada da Faxina, Campo Largo, PR, BR","2018","1","OBS569882289"
"22","Elaenia mesoleuca (Deppe, 1830)","-51.430821","-26.74302","Santa Catarina","Macieira--Cabanha Guamirim","2018","1","OBS572091284"
"23","Elaenia mesoleuca (Deppe, 1830)","-43.671839","-20.060578","Minas Gerais","Parque Nacional da Serra do Gandarela - Santa Bárbara","2018","1","OBS609163764"
"24","Elaenia mesoleuca (Deppe, 1830)","-49.172168","-25.623235","Paraná","Hogase","2018","1","OBS566530359"
"25","Elaenia mesoleuca (Deppe, 1830)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577324"
"26","Elaenia mesoleuca (Deppe, 1830)","-45.296275","-22.506531","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,296)","2018","1","OBS564404715"
"27","Elaenia mesoleuca (Deppe, 1830)","-43.488417","-20.097742","Minas Gerais","Santuário do Caraça--área geral","2018","1","OBS574057296"
"28","Elaenia mesoleuca (Deppe, 1830)","-51.115514","-29.800237","Rio Grande do Sul","São Leopoldo--Rost","2018","1","OBS572629772"
"29","Elaenia mesoleuca (Deppe, 1830)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS565749864"
"30","Elaenia mesoleuca (Deppe, 1830)","-45.129048","-23.22996","São Paulo","Sítio Cotinga","2018","1","OBS702318523"
"31","Elaenia mesoleuca (Deppe, 1830)","-49.533498","-25.444695","Paraná","225-317 Rua Maria Aparecida de Oliveira, Campo Largo, Paraná, BR (-25,445, -49,533)","2018","1","OBS568043026"
"32","Elaenia mesoleuca (Deppe, 1830)","-49.182511","-25.709285","Paraná","Stud Don Juan","2018","2","OBS581637138"
"33","Elaenia mesoleuca (Deppe, 1830)","-41.31413","-12.896234","Bahia","Igatu Road","2018","2","OBS589156433"
