"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Heliobletus contaminatus Berlepsch, 1885","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS571069466"
"2","Heliobletus contaminatus Berlepsch, 1885","-45.606009","-23.770492","São Paulo","Rua Maria Chulia de Jesus, 1–419, São Sebastião BR-SP (-23,7705,-45,6060)","2018","1","OBS564091839"
"3","Heliobletus contaminatus Berlepsch, 1885","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663277"
"4","Heliobletus contaminatus Berlepsch, 1885","-46.636319","-23.452223","São Paulo","PE da Cantareira--Núcleo Pedra Grande","2018","1","OBS570470697"
"5","Heliobletus contaminatus Berlepsch, 1885","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS572484792"
"6","Heliobletus contaminatus Berlepsch, 1885","-50.817848","-28.948103","Rio Grande do Sul","PE Ctrle","2018","1","OBS564465446"
"7","Heliobletus contaminatus Berlepsch, 1885","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564343345"
"8","Heliobletus contaminatus Berlepsch, 1885","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564185410"
"9","Heliobletus contaminatus Berlepsch, 1885","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","1","OBS566690965"
"10","Heliobletus contaminatus Berlepsch, 1885","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166705"
"11","Heliobletus contaminatus Berlepsch, 1885","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS581068683"
"12","Heliobletus contaminatus Berlepsch, 1885","-47.195692","-23.844602","São Paulo","Ibiúna--Recanto no Sertão","2018","2","OBS581174920"
"13","Heliobletus contaminatus Berlepsch, 1885","-53.734088","-32.138699","Cerro Largo","Paso Centurion","2018","2","OBS579413818"
"14","Heliobletus contaminatus Berlepsch, 1885","-49.307269","-25.385019","Paraná","Casa do Seu Jose","2018","2","OBS606138191"
"15","Heliobletus contaminatus Berlepsch, 1885","-50.365053","-29.092279","Rio Grande do Sul","P.E. do Tainhas Rio Grande do Sul, BR (-29,092, -50,365)","2018","2","OBS582577425"
"16","Heliobletus contaminatus Berlepsch, 1885","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579888960"
"17","Heliobletus contaminatus Berlepsch, 1885","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484633"
