"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Hemitriccus obsoletus (Ribeiro, 1906)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS572485137"
"2","Hemitriccus obsoletus (Ribeiro, 1906)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399837"
"3","Hemitriccus obsoletus (Ribeiro, 1906)","-48.409262","-24.267632","São Paulo","Unknown Location - (-24.268, -48.409)","2018","1","OBS573119725"
"4","Hemitriccus obsoletus (Ribeiro, 1906)","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579889060"
"5","Hemitriccus obsoletus (Ribeiro, 1906)","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS580745628"
"6","Hemitriccus obsoletus (Ribeiro, 1906)","-47.171917","-23.967556","São Paulo","PE Jurupará","2018","2","OBS574512559"
"7","Hemitriccus obsoletus (Ribeiro, 1906)","-46.023926","-22.882438","Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)","2018","2","OBS578079820"
"8","Hemitriccus obsoletus (Ribeiro, 1906)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484617"
"9","Hemitriccus obsoletus (Ribeiro, 1906)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","2","OBS574870354"
"10","Hemitriccus obsoletus (Ribeiro, 1906)","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430603"
"11","Hemitriccus obsoletus (Ribeiro, 1906)","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923771"
"12","Hemitriccus obsoletus (Ribeiro, 1906)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS584232831"
"13","Hemitriccus obsoletus (Ribeiro, 1906)","-50.336491","-29.496353","Rio Grande do Sul","Pró-Mata","2018","4","OBS613295604"
"14","Hemitriccus obsoletus (Ribeiro, 1906)","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS601464829"
"15","Hemitriccus obsoletus (Ribeiro, 1906)","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164235"
"16","Hemitriccus obsoletus (Ribeiro, 1906)","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS605973492"
"17","Hemitriccus obsoletus (Ribeiro, 1906)","-44.734746","-22.362522","Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)","2018","4","OBS609474166"
"18","Hemitriccus obsoletus (Ribeiro, 1906)","-44.753298","-22.374122","Minas Gerais","(-22,3741,-44,7533)","2018","4","OBS606999785"
"19","Hemitriccus obsoletus (Ribeiro, 1906)","-48.8279","-25.480672","Paraná","Morretes--área geral","2018","5","OBS615158770"
"20","Hemitriccus obsoletus (Ribeiro, 1906)","-48.913552","-25.337227","Paraná","Estrada do Corvo","2018","5","OBS612258849"
"21","Hemitriccus obsoletus (Ribeiro, 1906)","-48.941879","-25.309036","Paraná","Rodovia da Graciosa, Paraná, BR (-25,309, -48,942)","2018","5","OBS612292077"
"22","Hemitriccus obsoletus (Ribeiro, 1906)","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","5","OBS623302155"
"23","Hemitriccus obsoletus (Ribeiro, 1906)","-44.611037","-22.444906","Rio de Janeiro","PN do Itatiaia--Parte Baixa (Hotéis Ype, Donati, Simon; 400-800m)","2018","5","OBS615761311"
"24","Hemitriccus obsoletus (Ribeiro, 1906)","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","5","OBS611325808"
"25","Hemitriccus obsoletus (Ribeiro, 1906)","-50.611284","-29.442862","Rio Grande do Sul","São Francisco de Paula -- Hotel Veraneio Hampel","2018","5","OBS623821849"
"26","Hemitriccus obsoletus (Ribeiro, 1906)","-45.522666","-22.766566","São Paulo","Pindamonhangaba--Pico do Itapeva","2018","5","OBS622399656"
"27","Hemitriccus obsoletus (Ribeiro, 1906)","-48.412801","-24.264834","São Paulo","Parque Intervales Guapiara SP","2018","5","OBS618020813"
"28","Hemitriccus obsoletus (Ribeiro, 1906)","-49.036682","-25.507897","Paraná","Represa Piraquara 2","2018","5","OBS637079908"
"29","Hemitriccus obsoletus (Ribeiro, 1906)","-44.828996","-23.175727","Rio de Janeiro","Rio de Janeiro, BR (-23,176, -44,829)","2018","5","OBS619602085"
"30","Hemitriccus obsoletus (Ribeiro, 1906)","-48.415959","-24.256895","São Paulo","Parque Intervales Ribeirão Grande SP","2018","5","OBS620584435"
"31","Hemitriccus obsoletus (Ribeiro, 1906)","-45.13815","-23.345877","São Paulo","Trilha do Rio Ipiranga","2018","5","OBS623332693"
"32","Hemitriccus obsoletus (Ribeiro, 1906)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","5","OBS639937516"
"33","Hemitriccus obsoletus (Ribeiro, 1906)","-48.273593","-24.308774","São Paulo","Parque Intervales Ribeirão Grade SP","2018","5","OBS614199623"
"34","Hemitriccus obsoletus (Ribeiro, 1906)","-45.588995","-22.705318","São Paulo","Campos do Jordão - SP","2018","5","OBS623853888"
"35","Hemitriccus obsoletus (Ribeiro, 1906)","-48.273625","-24.308774","São Paulo","Parque Estadual Intervales","2018","5","OBS614839608"
"36","Hemitriccus obsoletus (Ribeiro, 1906)","-45.293951","-22.506995","Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39","2018","5","OBS612120502"
"37","Hemitriccus obsoletus (Ribeiro, 1906)","-48.955722","-25.585569","Paraná","Chácara Dona Keiko","2018","6","OBS635258065"
"38","Hemitriccus obsoletus (Ribeiro, 1906)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","7","OBS640533610"
"39","Hemitriccus obsoletus (Ribeiro, 1906)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","7","OBS640777088"
"40","Hemitriccus obsoletus zimmeri Traylor, 1979","-49.4833","-26.7144",NA,"Doutor Pedrinho, Santa Catarina","2018","7","426077@XC"
"41","Hemitriccus obsoletus (Ribeiro, 1906)","-45.142555","-22.505437","São Paulo","Trilha para os Marins -- Marmelópolis-- MG.","2018","7","OBS646024792"
"42","Hemitriccus obsoletus (Ribeiro, 1906)","-45.397195","-22.629471","Minas Gerais","Estrada Divisa Charco/Parque ESTADUAL DE CAMPOS DO JORDÃO--MG/SP","2018","7","OBS646019742"
"43","Hemitriccus obsoletus (Ribeiro, 1906)","-44.92594","-23.22694","São Paulo","São Paulo, BR (-23,227, -44,926)","2018","7","OBS643814554"
"44","Hemitriccus obsoletus (Ribeiro, 1906)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","8","OBS654255025"
"45","Hemitriccus obsoletus (Ribeiro, 1906)","-48.409459","-24.267839","São Paulo","PE Intervales--Park Guesthouse & vicinity","2018","8","OBS651225217"
"46","Hemitriccus obsoletus (Ribeiro, 1906)","-45.397142","-22.629502","Minas Gerais","Estrada Charco/Campos Do Jordão -- Wenceslau Braz-- Mg.","2018","8","OBS655193445"
"47","Hemitriccus obsoletus (Ribeiro, 1906)","-44.624233","-22.406585","Rio de Janeiro","PN do Itatiaia--área geral (Partes Baixa e Alta)","2018","8","OBS649208235"
"48","Hemitriccus obsoletus (Ribeiro, 1906)","-50.393583","-29.432006","Rio Grande do Sul","FLONA de São Francisco de Paula, Rio Grande do Sul, BR (-29,432, -50,394)","2018","8","OBS650637451"
"49","Hemitriccus obsoletus (Ribeiro, 1906)","-48.584843","-24.434722","São Paulo","18330-000, Iporanga BR-SP (-24,4347,-48,5848)","2018","9","OBS666077028"
"50","Hemitriccus obsoletus (Ribeiro, 1906)","-44.82121","-23.151322","Rio de Janeiro","Estrada Da Pedra Da Macela, Rio de Janeiro, BR (-23,151, -44,821)","2018","9","OBS659130952"
"51","Hemitriccus obsoletus (Ribeiro, 1906)","-47.0037","-24.0037",NA,"Trilha dos Tucanos, Tapirai, São Paulo","2018","9","435503@XC"
"52","Hemitriccus obsoletus (Ribeiro, 1906)","-48.4073","-24.2601",NA,"PE Intervales, Ribeirao Grande, São Paulo","2018","9","435502@XC"
"53","Hemitriccus obsoletus (Ribeiro, 1906)","-45.143969","-22.50797","São Paulo","Trilha Para Morro Do Careca -- Marmelópolis-- Mg.","2018","9","OBS655189670"
"54","Hemitriccus obsoletus (Ribeiro, 1906)","-45.133856","-22.500172","Minas Gerais","Pico Dos Marins -- Marmelópolis--MG","2018","9","OBS655191512"
"55","Hemitriccus obsoletus (Ribeiro, 1906)","-45.14774","-22.509244","São Paulo","Trilha Da Base Marins Para Morro Do Careca -- Marmelópolis -- Mg.","2018","9","OBS665492752"
"56","Hemitriccus obsoletus (Ribeiro, 1906)","-48.944991","-25.302797","Paraná","100 Rodovia Régis Bittencourt, Paraná, BR (-25,303, -48,945)","2018","10","OBS667226179"
"57","Hemitriccus obsoletus (Ribeiro, 1906)","-45.169294","-23.469725","São Paulo","Ubatuba--Sítio Folha Seca","2018","10","OBS678251554"
"58","Hemitriccus obsoletus (Ribeiro, 1906)","-49.097407","-26.224716","Santa Catarina","Estrada do Rio do Julio","2018","10","OBS664656657"
"59","Hemitriccus obsoletus (Ribeiro, 1906)","-49.267565","-26.468485","Santa Catarina","(-26,4685,-49,2676)","2018","10","OBS664224938"
"60","Hemitriccus obsoletus (Ribeiro, 1906)","-48.413287","-24.265812","São Paulo","(-24.2658,-48.4133)","2018","10","OBS669718420"
"61","Hemitriccus obsoletus (Ribeiro, 1906)","-48.421472","-24.278447","São Paulo",NA,"2018","10","17998803"
"62","Hemitriccus obsoletus (Ribeiro, 1906)","-45.281653","-22.522469","Minas Gerais","Estrada Bartira -- Delfim Moreira -- MG.","2018","11","OBS691483295"
"63","Hemitriccus obsoletus (Ribeiro, 1906)","-44.614899","-22.736117","São Paulo","São José do Barreiro--PN Serra da Bocaina","2018","11","OBS708642872"
"64","Hemitriccus obsoletus (Ribeiro, 1906)","-45.145929","-23.335638","São Paulo","Parque Estadual da Serra do Mar - Núcleo Sta Virgínia/Pousada Oikos.","2018","11","OBS674330162"
"65","Hemitriccus obsoletus (Ribeiro, 1906)","-48.405725","-24.267972","São Paulo","PE Intervales—Estrada Barra Grande","2018","12","OBS691518450"
"66","Hemitriccus obsoletus (Ribeiro, 1906)","-45.232507","-22.540341","Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira","2018","12","OBS686835183"
"67","Hemitriccus obsoletus (Ribeiro, 1906)","-48.409718","-24.267171","São Paulo","Intervales","2018","12","OBS686469711"
"68","Hemitriccus obsoletus (Ribeiro, 1906)","-45.225358","-22.569262","São Paulo","Piquete--Pico do Ataque","2017","1","OBS461037197"
"69","Hemitriccus obsoletus (Ribeiro, 1906)","-49.690547","-28.663914","Santa Catarina","BR-Santa Catarina-Nova Veneza - Serra do Pinheiro -- Vila Maria -28,664x-49,691 ","2017","1","OBS459468018"
"70","Hemitriccus obsoletus (Ribeiro, 1906)","-49.097236","-27.632446","Santa Catarina","Taquaras - rancho queimado","2017","1","OBS454670817"
"71","Hemitriccus obsoletus (Ribeiro, 1906)","-48.993263","-27.702643","Santa Catarina","descida da serra em águas mornas","2017","1","OBS454700940"
"72","Hemitriccus obsoletus (Ribeiro, 1906)","-44.383019","-22.779198","São Paulo","BR-São Paulo-Bananal-Estrada do Ariró - -22,779x-44,383","2017","2","OBS473394116"
"73","Hemitriccus obsoletus (Ribeiro, 1906)","-49.196904","-26.297506","Santa Catarina","Trilha Comfloresta-Rio Manso","2017","3","OBS476120880"
"74","Hemitriccus obsoletus (Ribeiro, 1906)","-45.592687","-22.655598","São Paulo","Estrada Piranguçu/São Bento do Sapucaí- lago da represa. -22,656x-45,593","2017","3","OBS476578892"
"75","Hemitriccus obsoletus (Ribeiro, 1906)","-49.207405","-26.29793","Santa Catarina","São Bento do Sul--COMFLORESTA","2017","3","OBS477111949"
"76","Hemitriccus obsoletus (Ribeiro, 1906)","-49.065092","-25.850148","Paraná","Sítio Maoki - Vossoroca, Tijucas do Sul, PR","2017","4","OBS481868156"
"77","Hemitriccus obsoletus (Ribeiro, 1906)","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2017","4","OBS488823890"
"78","Hemitriccus obsoletus (Ribeiro, 1906)","-51.080372","-29.518175","Rio Grande do Sul","Morro Reuter--Estrada José Klauck","2017","4","OBS528617249"
"79","Hemitriccus obsoletus (Ribeiro, 1906)","-48.947177","-25.599224","Paraná","-25,599x-48,947 - 23 de abr de 2017 11:26","2017","4","OBS489635152"
"80","Hemitriccus obsoletus (Ribeiro, 1906)","-45.104885","-23.354864","São Paulo","PE Serra do Mar--Núcleo Santa Virgínia","2017","5","OBS509105169"
"81","Hemitriccus obsoletus (Ribeiro, 1906)","-44.759224","-22.374101","Minas Gerais","-22,3741x-44,7592 - 17 de mai de 2017 06:14","2017","5","OBS501260473"
"82","Hemitriccus obsoletus (Ribeiro, 1906)","-45.354895","-22.525733","Minas Gerais","BR-Minas Gerais-Wenceslau Braz-26 Rodovia Juscelino Kubitscheck de Oliveira - -22,526x-45,355","2017","5","OBS505755265"
"83","Hemitriccus obsoletus (Ribeiro, 1906)","-49.097634","-27.632416","Santa Catarina","Taquaras","2017","5","OBS498774019"
"84","Hemitriccus obsoletus (Ribeiro, 1906)","-44.755429","-22.37344","Minas Gerais","-22,3734x-44,7554 - 18 de mai de 2017 06:35","2017","5","OBS501484444"
"85","Hemitriccus obsoletus (Ribeiro, 1906)","-48.47008","-24.224204","São Paulo","Horical","2017","6","OBS513997909"
"86","Hemitriccus obsoletus (Ribeiro, 1906)","-44.83233","-23.175714","Rio de Janeiro","Estrada Paraty-Cunha (RJ-165)","2017","6","OBS512878389"
"87","Hemitriccus obsoletus (Ribeiro, 1906)","-45.362822","-22.535338","Minas Gerais","BR-Minas Gerais-Wenceslau Braz-164 Rodovia Juscelino Kubitscheck de Oliveira - -22,535x-45,363","2017","6","OBS512151838"
"88","Hemitriccus obsoletus (Ribeiro, 1906)","-48.115002","-22.684457","São Paulo","Fazenda Bacury","2017","6","OBS510465822"
