"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Mackenziaena leachii (Such, 1825)","-43.671839","-20.060578","Minas Gerais","Parque Nacional da Serra do Gandarela - Santa Bárbara","2018","1","OBS567253698"
"2","Mackenziaena leachii (Such, 1825)","-53.762844","-32.139231","Cerro Largo","Paso Centurión Tours","2018","1","OBS567469917"
"3","Mackenziaena leachii (Such, 1825)","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS570713337"
"4","Mackenziaena leachii (Such, 1825)","-54.441333","-25.714481","Misiones","PN Iguazú--Sendero Ñandú","2018","1","OBS566973665"
"5","Mackenziaena leachii (Such, 1825)","-54.576221","-25.614487","Misiones","33 Cacique Paravera, Puerto Iguazú, Misiónes, AR (-25,614, -54,576)","2018","1","OBS566960318"
"6","Mackenziaena leachii (Such, 1825)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS565579477"
"7","Mackenziaena leachii (Such, 1825)","-50.818868","-28.87427","Rio Grande do Sul","Unnamed Road, Rio Grande do Sul, BR (-28,874, -50,819)","2018","1","OBS565179353"
"8","Mackenziaena leachii (Such, 1825)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS564136903"
"9","Mackenziaena leachii (Such, 1825)","-55.663948","-26.637764","Itapúa","Estancias Nueva Gambach","2018","1","OBS565256785"
"10","Mackenziaena leachii (Such, 1825)","-55.535447","-26.354718","Caazapá","(-26.355, -55.535)","2018","1","OBS571360136"
"11","Mackenziaena leachii (Such, 1825)","-43.474467","-20.106475","Minas Gerais","Cascatinha","2018","1","OBS573498165"
"12","Mackenziaena leachii (Such, 1825)","-55.700616","-26.719488","Itapúa","Unnamed Road, Departamento de Itapúa, PY (-26.719, -55.701)","2018","1","OBS574883869"
"13","Mackenziaena leachii (Such, 1825)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571518488"
"14","Mackenziaena leachii (Such, 1825)","-54.459188","-25.713988","Misiones","Ruta Nacional 101, Misiónes, AR (-25,714, -54,459)","2018","1","OBS567541754"
"15","Mackenziaena leachii (Such, 1825)","-46.537269","-23.68878","São Paulo","Paranapiacaba","2018","1","OBS564042956"
"16","Mackenziaena leachii (Such, 1825)","-41.798814","-20.439474","Espírito Santo","PN do Caparaó--Trilha para o Pico da Bandeira (Espírito Santo)","2018","1","OBS585314111"
"17","Mackenziaena leachii (Such, 1825)","-54.459371","-25.713971","Misiones","Ruta Nacional 101, Misiónes, AR (-25,714, -54,459)","2018","1","OBS568068917"
"18","Mackenziaena leachii (Such, 1825)","-41.801552","-20.506666","Espírito Santo","Espírito Santo, BR (-20,507, -41,802)","2018","1","OBS587102575"
"19","Mackenziaena leachii (Such, 1825)","-44.969468","-21.330561","Minas Gerais","Parque Quedas do Rio Bonito, Lavras, Minas Gerais, BR (-21,331, -44,969)","2018","1","OBS566031596"
"20","Mackenziaena leachii (Such, 1825)","-55.713603","-26.725656","Itapúa","Unnamed Road, Departamento de Itapúa, PY (-26.726, -55.714)","2018","1","OBS570868755"
"21","Mackenziaena leachii (Such, 1825)","-44.969637","-21.329555","Minas Gerais","Lavras--Parque Ecológico Quedas do Rio Bonito","2018","1","OBS582437008"
"22","Mackenziaena leachii (Such, 1825)","-52.063571","-29.162124","Rio Grande do Sul","(-29,162, -52,064)","2018","1","OBS569928016"
"23","Mackenziaena leachii (Such, 1825)","-55.8","-26.43","Itapúa","Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)","2018","1","OBS565240867"
"24","Mackenziaena leachii (Such, 1825)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577356"
"25","Mackenziaena leachii (Such, 1825)","-52.905019","-28.504433","Rio Grande do Sul","Mato do Arlei","2018","1","OBS571110133"
"26","Mackenziaena leachii (Such, 1825)","-53.732667","-32.132167","Cerro Largo","Paso Centurión","2018","1","OBS562785588"
"27","Mackenziaena leachii (Such, 1825)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484622"
"28","Mackenziaena leachii (Such, 1825)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","2","OBS575675898"
"29","Mackenziaena leachii (Such, 1825)","-53.734088","-32.138699","Cerro Largo","Paso Centurion","2018","2","OBS579413771"
"30","Mackenziaena leachii (Such, 1825)","-52.485101","-31.45638","Rio Grande do Sul","Arroio do Padre--Arredores do Bairro Brasil pra Cristo","2018","2","OBS577396788"
"31","Mackenziaena leachii (Such, 1825)","-47.561188","-24.00366","São Paulo","Trilha dos Tucanos","2018","2","OBS577538268"
"32","Mackenziaena leachii (Such, 1825)","-53.659925","-27.032705","Santa Catarina","LD ITA-SMO - UA1, Tunápolis, SC (-27,033, -53,66)","2018","2","OBS589546893"
"33","Mackenziaena leachii (Such, 1825)","-52.505556","-31.616389","Rio Grande do Sul","Pelotas--cascata e mata no Santuário","2018","2","OBS577099704"
"34","Mackenziaena leachii (Such, 1825)","-55.814559","-27.458378","Misiones","Desembocadura Arroyo Garupá","2018","2","OBS582927489"
"35","Mackenziaena leachii (Such, 1825)","-55.157481","-26.062623","Alto Paraná","Doctor Juan León Mallorquín, Departamento de Alto Paraná, PY (-26.063, -55.157)","2018","2","OBS575641655"
"36","Mackenziaena leachii (Such, 1825)","-46.516722","-23.777839","São Paulo","Serra do Mar - Estoril","2018","2","OBS574646029"
