"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Microspingus cabanisi","-58.314558","-34.663339","Buenos Aires",NA,"2019","6","28338270"
"2","Microspingus cabanisi","-48.99552","-25.491921","Paraná",NA,"2019","7","28997178"
"3","Microspingus cabanisi","-57.997334","-31.371862","Entre Ríos",NA,"2019","7","29926068"
"4","Microspingus cabanisi","-58.315612","-34.664276","Buenos Aires",NA,"2019","8","31119174"
"5","Microspingus cabanisi","-58.315623","-34.664276","Buenos Aires",NA,"2019","8","30948512"
"6","Microspingus cabanisi","-52.432856","-28.081065","Rio Grande do Sul","Coxilha, Rio Grande do Sul, BR (-28,081, -52,433)","2018","1","OBS567140532"
"7","Microspingus cabanisi","-58.494966","-34.469344","Buenos Aires","Reserva Ribera Norte","2018","1","OBS565181142"
"8","Microspingus cabanisi","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS572485114"
"9","Microspingus cabanisi","-53.767","-32.249833","Cerro Largo","IBA Sierra de los Ríos","2018","1","OBS571422927"
"10","Microspingus cabanisi","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564697308"
"11","Microspingus cabanisi","-58.74567","-34.161021","Buenos Aires","Camping El Cielo","2018","1","OBS570232843"
"12","Microspingus cabanisi","-52.905019","-28.504433","Rio Grande do Sul","Mato do Arlei","2018","1","OBS572549568"
"13","Microspingus cabanisi","-52.626674","-31.551659","Rio Grande do Sul","Morro Redondo--Pousada da Cachoeira, Arroio Cadeia","2018","1","OBS566777604"
"14","Microspingus cabanisi","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS571142060"
"15","Microspingus cabanisi","-52.50727","-31.619215","Rio Grande do Sul","Santuário Nossa Senhora de Guadalupe","2018","1","OBS568003678"
"16","Microspingus cabanisi","-49.64758","-25.432247","Paraná","Estrada da Faxina, Campo Largo, PR, BR","2018","1","OBS569319494"
"17","Microspingus cabanisi","-50.973264","-28.877894","Rio Grande do Sul","Caxias do Sul--Criúva","2018","1","OBS565738269"
"18","Microspingus cabanisi","-50.821965","-28.884815","Rio Grande do Sul","PE Jus","2018","1","OBS564728779"
"19","Microspingus cabanisi","-51.430821","-26.74302","Santa Catarina","Macieira--Cabanha Guamirim","2018","1","OBS572091299"
"20","Microspingus cabanisi","-51.175626","-30.051367","Rio Grande do Sul","BR-RS-Porto Alegre-Museu de Ciências Naturais e Fundação Zoobotânica? - -30,0514x-51,1756","2018","1","OBS576673283"
"21","Microspingus cabanisi","-58.249962","-34.183742","Buenos Aires","Reserva Natural de Uso Múltiple Isla Martín García (AICA BA06)","2018","1","OBS572159031"
"22","Microspingus cabanisi","-50.798547","-28.972539","Rio Grande do Sul","PE Criuva","2018","1","OBS565191079"
"23","Microspingus cabanisi","-53.73","-32.137667","Cerro Largo","Sierra de los Rios","2018","1","OBS571926234"
"24","Microspingus cabanisi","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564481528"
"25","Microspingus cabanisi","-52.788032","-28.521941","Rio Grande do Sul","Mato de Invernadinha - Nmt(-28,522, -52,788)","2018","1","OBS569188108"
"26","Microspingus cabanisi","-50.790146","-28.959822","Rio Grande do Sul","Localidade Desconhecida - (-28,96, -50,79)","2018","1","OBS565858993"
"27","Microspingus cabanisi","-50.817848","-28.948103","Rio Grande do Sul","PE Ctrle","2018","1","OBS564465360"
"28","Microspingus cabanisi","-52.5825","-31.666944","Rio Grande do Sul","Morro redondo, Sítio Flor e Osória","2018","2","OBS573991199"
"29","Microspingus cabanisi","-54.555693","-28.543457","Rio Grande do Sul","79-143 Rua Boa Ventura Braga, Rio Grande do Sul, BR (-28,543, -54,556)","2018","2","OBS574254979"
"30","Microspingus cabanisi","-49.182511","-25.709285","Paraná","Stud Don Juan","2018","2","OBS581637368"
"31","Microspingus cabanisi","-55.984667","-31.3595","Tacuarembó","Bichadero-Fros, Cuchilla de Laureles, Tacuarembo","2018","2","OBS703804063"
"32","Microspingus cabanisi","-58.191554","-31.280701","Entre Ríos","El Retobado","2018","2","OBS578492001"
"33","Microspingus cabanisi","-51.991097","-26.799749","Santa Catarina","Passos Maia--PN das Araucárias","2018","2","OBS575963835"
"34","Microspingus cabanisi","-56.019167","-31.2785","Tacuarembó","Laureles","2018","2","OBS583193600"
"35","Microspingus cabanisi","-52.505556","-31.616389","Rio Grande do Sul","Pelotas--cascata e mata no Santuário","2018","2","OBS577099714"
"36","Microspingus cabanisi","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579888961"
"37","Microspingus cabanisi","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS580745478"
"38","Microspingus cabanisi","-58.211575","-31.871435","Entre Ríos","PN El Palmar","2018","2","OBS581475638"
"39","Microspingus cabanisi","-52.485101","-31.45638","Rio Grande do Sul","Arroio do Padre--Arredores do Bairro Brasil pra Cristo","2018","2","OBS577396755"
"40","Microspingus cabanisi","-49.795586","-25.320559","Paraná","Cercado - Escarpa Devoniana - Palmeira","2018","2","OBS637079585"
"41","Microspingus cabanisi","-56.305667","-34.269167","Florida","Paso Severino","2018","2","OBS577347863"
"42","Microspingus cabanisi","-57.85085","-34.446128","Colonia","Zanjón Calle Francisco Soca","2018","2","OBS580719906"
"43","Microspingus cabanisi","-55.346558","-34.778219","Maldonado","Paseo de las Sierras de las Ánimas.-Ruta Interbalnearia, Departamento de Maldonado, UY (-34,778, -55,347)","2018","2","OBS576897835"
"44","Microspingus cabanisi","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484642"
"45","Microspingus cabanisi","-48.811634","-25.099901","Paraná","Estrada do Taquaral - Campina Grande so Sul","2018","2","OBS577076370"
"46","Microspingus cabanisi","-52.901495","-28.510659","Rio Grande do Sul","BR-Rio Grande do Sul-Não-Me-Toque - -28,511x-52,901 - 20 de nov de 2016 10:03","2018","2","OBS576315510"
"47","Microspingus cabanisi","-51.919265","-29.395228","Rio Grande do Sul","1189 Rua Helmuth Kuhn, Rio Grande do Sul, BR (-29,395, -51,919)","2018","2","OBS577201359"
"48","Microspingus cabanisi","-51.127634","-31.386923","Rio Grande do Sul","Tavares--Chácara Manduca Belém","2018","2","OBS576091478"
"49","Microspingus cabanisi","-49.307269","-25.385019","Paraná","Casa do Seu Jose","2018","2","OBS606138204"
"50","Microspingus cabanisi","-58.650797","-34.244286","Buenos Aires","La Escondida","2018","2","OBS640929949"
"51","Microspingus cabanisi","-58.655299","-34.241194","Buenos Aires",NA,"2018","2","20779452"
"52","Microspingus cabanisi","-55.90363","-31.189382","Rivera","Valle del Lunarejo","2018","2","OBS621757977"
"53","Microspingus cabanisi","-51.955279","-26.49604","Paraná","Palmas--Cervejaria Insana","2018","2","OBS574731497"
"54","Microspingus cabanisi","-53.734088","-32.138699","Cerro Largo","Paso Centurion","2018","2","OBS579413826"
"55","Microspingus cabanisi","-51.899315","-26.396843","Paraná","Palmas--Barracamento","2018","3","OBS591821740"
