"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Microspingus lateralis","-46.070055","-22.85753","Minas Gerais",NA,"2019","6","28975376"
"2","Microspingus lateralis","-41.801552","-20.506666","Espírito Santo","Espírito Santo, BR (-20,507, -41,802)","2018","1","OBS587102567"
"3","Microspingus lateralis","-44.844561","-23.151116","São Paulo","(-23,1511,-44,8446)","2018","1","OBS571556440"
"4","Microspingus lateralis","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663278"
"5","Microspingus lateralis","-45.656777","-22.85252","São Paulo","Estrada do Pico Agudo, Santo Antônio do Pinhal / SP - BR","2018","1","OBS569324825"
"6","Microspingus lateralis","-41.798814","-20.439474","Espírito Santo","PN do Caparaó--Trilha para o Pico da Bandeira (Espírito Santo)","2018","1","OBS575597998"
"7","Microspingus lateralis","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399827"
"8","Microspingus lateralis","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS564136891"
"9","Microspingus lateralis","-46.023926","-22.882438","Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)","2018","2","OBS578079786"
"10","Microspingus lateralis","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430597"
"11","Microspingus lateralis","-44.754059","-22.37345","Minas Gerais","Parque Nacional do Itatiaia parte alta","2018","2","OBS583055915"
"12","Microspingus lateralis","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995418"
"13","Microspingus lateralis","-45.280202","-22.521239","Minas Gerais","Minas Gerais, BR (-22,521, -45,28)","2018","2","OBS573332973"
"14","Microspingus lateralis","-46.317029","-22.880129","Minas Gerais","Serra do Lopo - Extrema, MG","2018","2","OBS575498268"
"15","Microspingus lateralis","-45.481944","-22.689444","São Paulo","PE Campos do Jordão (Horto Florestal)","2018","2","OBS575840553"
"16","Microspingus lateralis","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923793"
"17","Microspingus lateralis","-45.943138","-22.90807","São Paulo","335 Estrada de Santa Bárbara, São Paulo, BR (-22,908, -45,943)","2018","3","OBS589939796"
"18","Microspingus lateralis","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS639937375"
"19","Microspingus lateralis","-45.967141","-22.9132","São Paulo","Unnamed Road, São Francisco Xavier, São Paulo, BR (-22,913, -45,967)","2018","3","OBS589145681"
"20","Microspingus lateralis","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2018","3","OBS594022877"
"21","Microspingus lateralis","-41.867395","-20.435304","Minas Gerais","Alto Caparaó","2018","3","OBS589008774"
"22","Microspingus lateralis","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859449"
"23","Microspingus lateralis","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","3","OBS592678152"
"24","Microspingus lateralis","-44.760866","-22.375328","Minas Gerais","Minas Gerais, BR (-22,375, -44,761)","2018","4","OBS621131856"
"25","Microspingus lateralis","-44.705023","-22.477229","Rio de Janeiro","Rodovia Sebastião Alves do Nascimento, Rio de Janeiro, BR (-22,477, -44,705)","2018","4","OBS608026517"
"26","Microspingus lateralis","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS604775183"
"27","Microspingus lateralis","-44.755841","-22.37331","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,373, -44,756)","2018","4","OBS608519143"
"28","Microspingus lateralis","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164224"
"29","Microspingus lateralis","-44.476855","-21.95733","Minas Gerais","Aiuruoca -- RPPN Serra dos Garcia","2018","4","OBS604160905"
"30","Microspingus lateralis","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS596775096"
"31","Microspingus lateralis","-45.490709","-22.693548","São Paulo","São Paulo, BR (-22,694, -45,491)","2018","4","OBS600715003"
"32","Microspingus lateralis","-45.485235","-22.698135","São Paulo","Unnamed Road, São Paulo, BR (-22,698, -45,485)","2018","4","OBS600715374"
"33","Microspingus lateralis","-44.734746","-22.362522","Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)","2018","4","OBS608309030"
"34","Microspingus lateralis","-44.753298","-22.374122","Minas Gerais","(-22,3741,-44,7533)","2018","4","OBS606999779"
"35","Microspingus lateralis","-44.711564","-22.368953","Rio de Janeiro","Unnamed Road, Minas Gerais, BR (-22,369, -44,712)","2018","4","OBS622126581"
"36","Microspingus lateralis","-45.495045","-22.690261","São Paulo","7997 Avenida Pedro Paulo, São Paulo, BR (-22,69, -45,495)","2018","4","OBS600604029"
"37","Microspingus lateralis","-45.588619","-22.70355","São Paulo","Campos do Jordão--Pico do Imbiri","2018","4","OBS605970990"
"38","Microspingus lateralis","-45.588286","-22.735976","São Paulo","Campos do Jordão - SP","2018","5","OBS625207663"
