"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Muscipipra vetula (Lichtenstein, 1823)","-41.798814","-20.439474","Espírito Santo","PN do Caparaó--Trilha para o Pico da Bandeira (Espírito Santo)","2018","1","OBS638783696"
"2","Muscipipra vetula (Lichtenstein, 1823)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399794"
"3","Muscipipra vetula (Lichtenstein, 1823)","-41.801552","-20.506666","Espírito Santo","Espírito Santo, BR (-20,507, -41,802)","2018","1","OBS578002813"
"4","Muscipipra vetula (Lichtenstein, 1823)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS573119573"
"5","Muscipipra vetula (Lichtenstein, 1823)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS572107276"
"6","Muscipipra vetula (Lichtenstein, 1823)","-45.282589","-22.523847","Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,524x-45,283","2018","1","OBS568400728"
"7","Muscipipra vetula (Lichtenstein, 1823)","-44.584091","-22.649526","São Paulo","1 Rua Olímpio, São Paulo, BR (-22,65, -44,584)","2018","1","OBS640489530"
"8","Muscipipra vetula (Lichtenstein, 1823)","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS580745362"
"9","Muscipipra vetula (Lichtenstein, 1823)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484628"
"10","Muscipipra vetula (Lichtenstein, 1823)","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995435"
"11","Muscipipra vetula (Lichtenstein, 1823)","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579888989"
"12","Muscipipra vetula (Lichtenstein, 1823)","-45.280202","-22.521239","Minas Gerais","Minas Gerais, BR (-22,521, -45,28)","2018","2","OBS573332966"
"13","Muscipipra vetula (Lichtenstein, 1823)","-48.811634","-25.099901","Paraná","Estrada do Taquaral - Campina Grande so Sul","2018","2","OBS576128202"
"14","Muscipipra vetula (Lichtenstein, 1823)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS639937350"
"15","Muscipipra vetula (Lichtenstein, 1823)","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2018","3","OBS594022897"
"16","Muscipipra vetula (Lichtenstein, 1823)","-43.366278","-20.83247","Minas Gerais","Fazenda Caatinga","2018","3","OBS594801870"
"17","Muscipipra vetula (Lichtenstein, 1823)","-44.675854","-22.500219","Rio de Janeiro","Resende--Engenheiro Passos","2018","4","OBS609266884"
"18","Muscipipra vetula (Lichtenstein, 1823)","-44.828996","-23.175727","Rio de Janeiro","Rio de Janeiro, BR (-23,176, -44,829)","2018","4","OBS657051831"
"19","Muscipipra vetula (Lichtenstein, 1823)","-46.290759","-23.772801","São Paulo","Paranapiacaba--Estrada do Taquaruçu","2018","4","OBS603233065"
"20","Muscipipra vetula (Lichtenstein, 1823)","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164203"
"21","Muscipipra vetula (Lichtenstein, 1823)","-50.336491","-29.496353","Rio Grande do Sul","Pró-Mata","2018","4","OBS613295635"
"22","Muscipipra vetula (Lichtenstein, 1823)","-44.476855","-21.95733","Minas Gerais","Aiuruoca -- RPPN Serra dos Garcia","2018","4","OBS604160911"
"23","Muscipipra vetula (Lichtenstein, 1823)","-46.537269","-23.688781","São Paulo","Trilha Taquarussu","2018","4","OBS604305828"
"24","Muscipipra vetula (Lichtenstein, 1823)","-46.288919","-23.767436","São Paulo","PNM Nascentes de Paranapiacaba-Estrada do Taquaruçu","2018","4","OBS604994280"
"25","Muscipipra vetula (Lichtenstein, 1823)","-49.103512","-25.733764","Paraná","Guaricana","2018","4","OBS601402113"
"26","Muscipipra vetula (Lichtenstein, 1823)","-43.48815","-20.098143","Minas Gerais","(-20,098, -43,488)","2018","4","OBS596860089"
"27","Muscipipra vetula (Lichtenstein, 1823)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","4","OBS608221943"
"28","Muscipipra vetula (Lichtenstein, 1823)","-43.488417","-20.097742","Minas Gerais","Santuário do Caraça--área geral","2018","4","OBS606178687"
"29","Muscipipra vetula (Lichtenstein, 1823)","-49.136305","-27.666935","Santa Catarina","Unnamed Road, Santa Catarina, BR (-27,667, -49,136)","2018","4","OBS599422385"
"30","Muscipipra vetula (Lichtenstein, 1823)","-43.901699","-21.737555","Minas Gerais","Reserva do Ibitipoca, Minas Gerais, BR","2018","4","OBS604014472"
"31","Muscipipra vetula (Lichtenstein, 1823)","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","5","OBS612693749"
"32","Muscipipra vetula (Lichtenstein, 1823)","-45.588995","-22.705318","São Paulo","Campos do Jordão - SP","2018","5","OBS623853919"
"33","Muscipipra vetula (Lichtenstein, 1823)","-45.281696","-22.523481","Minas Gerais","Estrada Bartira-22,523x-45,282 - 2 de jun de 2017 07:09","2018","5","OBS619319613"
"34","Muscipipra vetula (Lichtenstein, 1823)","-45.293951","-22.506995","Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39","2018","5","OBS612120457"
"35","Muscipipra vetula (Lichtenstein, 1823)","-48.273625","-24.308774","São Paulo","Parque Estadual Intervales","2018","5","OBS614839635"
"36","Muscipipra vetula (Lichtenstein, 1823)","-45.522666","-22.766566","São Paulo","Pindamonhangaba--Pico do Itapeva","2018","5","OBS623302212"
"37","Muscipipra vetula (Lichtenstein, 1823)","-45.232507","-22.540341","Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira","2018","5","OBS627228262"
"38","Muscipipra vetula (Lichtenstein, 1823)","-48.810668","-27.73223","Santa Catarina","PE da Serra do Tabuleiro -- Hotel Plaza Caldas da Imperatriz","2018","5","OBS609999361"
"39","Muscipipra vetula (Lichtenstein, 1823)","-41.02693","-20.393931","Espírito Santo","PE Pedra Azul","2018","6","OBS644286035"
"40","Muscipipra vetula (Lichtenstein, 1823)","-48.38344","-24.24422","São Paulo","Ribeirão Grande--Paraíso Eco Lodge","2018","6","OBS628787531"
"41","Muscipipra vetula (Lichtenstein, 1823)","-41.02675","-20.49277","Espírito Santo","Mata dos Caetés","2018","6","OBS634083654"
"42","Muscipipra vetula (Lichtenstein, 1823)","-49.170789","-26.283914","Santa Catarina","POUSADA RIO MANSO","2018","6","OBS634749859"
"43","Muscipipra vetula (Lichtenstein, 1823)","-45.848951","-23.53578","São Paulo","Salesópolis--área geral","2018","6","OBS633934494"
"44","Muscipipra vetula (Lichtenstein, 1823)","-41.289432","-20.329819","Espírito Santo","Estrada da Pingadeira","2018","6","OBS634074792"
