"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.759","-25.2401",NA,"Antonina, Parana Pousada Vila Flor Sede Orninthos","2019","4","469280@XC"
"2","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469397@XC"
"3","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS564136895"
"4","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570313403"
"5","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS570487617"
"6","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399784"
"7","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663270"
"8","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","2","OBS584253481"
"9","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430575"
"10","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579889066"
"11","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995443"
"12","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS639937380"
"13","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.907727","-25.333925","Paraná","83420, Quatro Barras BR-PR (-25.3339,-48.9077)","2018","3","OBS593781494"
"14","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-41.292167","-20.739063","Espírito Santo","Comunidade Quilombola de Monte Alegre","2018","3","OBS684704434"
"15","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.796072","-22.352963","Minas Gerais","Itamonte--RPPN Alto Montana","2018","3","OBS594022876"
"16","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859467"
"17","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923791"
"18","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.753298","-22.374122","Minas Gerais","(-22,3741,-44,7533)","2018","4","OBS606999755"
"19","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS599995256"
"20","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.758943","-22.374128","Minas Gerais","Minas Gerais, BR (-22,374, -44,759)","2018","4","OBS621132362"
"21","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS604771136"
"22","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.734746","-22.362522","Minas Gerais","PN Itatiaia  (parte alta), Itamonte, Minas Gerais, BR (-22,363, -44,735)","2018","4","OBS609474212"
"23","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.58484","-22.351568","Rio de Janeiro","Pico da Caledônia","2018","4","OBS601147860"
"24","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.588619","-22.70355","São Paulo","Campos do Jordão--Pico do Imbiri","2018","4","OBS605052795"
"25","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.755841","-22.37331","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,373, -44,756)","2018","4","OBS621794967"
"26","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.476855","-21.95733","Minas Gerais","Aiuruoca -- RPPN Serra dos Garcia","2018","4","OBS604160916"
"27","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.558074","-22.336804","Rio de Janeiro","Estrada para o Pico Caledonia,  Nova Friburgo","2018","4","OBS612439673"
"28","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.83233","-23.175714","Rio de Janeiro","Estrada Paraty-Cunha (RJ-165)","2018","4","OBS605970229"
"29","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164234"
"30","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.808996","-23.155437","Rio de Janeiro","Unnamed Road, Rio de Janeiro, BR (-23,155, -44,809)","2018","5","OBS624048518"
"31","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.729345","-23.100518","Rio de Janeiro","Ecositio dos Passarinhos","2018","5","OBS612137619"
"32","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.913552","-25.337227","Paraná","Estrada do Corvo","2018","5","OBS612258802"
"33","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.728014","-22.217552","Minas Gerais","Minas Gerais, BR (-22,218, -45,728)","2018","5","OBS611436458"
"34","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.941879","-25.309036","Paraná","Rodovia da Graciosa, Paraná, BR (-25,309, -48,942)","2018","5","OBS612292030"
"35","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.588995","-22.705318","São Paulo","Campos do Jordão - SP","2018","5","OBS623853902"
"36","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-41.806288","-20.505144","Espírito Santo","PN do Caparaó--Pedra Menina","2018","5","OBS632274557"
"37","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.840215","-23.198084","Rio de Janeiro","9993-11385 Rodovia Parati - Cunha, Rio de Janeiro, BR (-23,198, -44,84)","2018","5","OBS613305537"
"38","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.828996","-23.175727","Rio de Janeiro","Rio de Janeiro, BR (-23,176, -44,829)","2018","5","OBS619602084"
"39","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.839887","-23.167177","Rio de Janeiro","“Rodovia Vice Prefeito Salvador Pacetti”, São Paulo, BR (-23,167, -44,84)","2018","5","OBS615151989"
"40","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.293951","-22.506995","Minas Gerais","BR-Minas Gerais-Delfim-Estrada Pico Dos Marins Moreira - -22,507x-45,294 - 26 de mar de 2017 04:39","2018","5","OBS612120434"
"41","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.522666","-22.766566","São Paulo","Pindamonhangaba--Pico do Itapeva","2018","5","OBS623302213"
"42","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-46.743228","-23.985753","São Paulo","Marsilac, São Paulo BR-SP (-23.9858,-46.7432)","2018","5","OBS612085722"
"43","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","5","OBS617950953"
"44","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","5","OBS621625964"
"45","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.232507","-22.540341","Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira","2018","5","OBS627228243"
"46","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-49.854398","-27.928687","Santa Catarina","Urupema - Cachoeira que Congela","2018","5","OBS627007037"
"47","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-41.819555","-20.501732","Minas Gerais","Caparaó","2018","6","OBS629972566"
"48","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.584816","-22.342365","Rio de Janeiro","Estrada ao Pico da Caledônia","2018","6","OBS628888663"
"49","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.568593","-22.337571","Rio de Janeiro","Pico da Caledônia - Nova Friburgo, Rio de Janeiro","2018","6","OBS637924052"
"50","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.7445","-23.1603","Rio de Janeiro","Corumbe Paraty","2018","6","OBS644584553"
"51","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.737891","-22.366355","Minas Gerais","BR-485, Itamonte BR-MG (-22.3664,-44.7379)","2018","7","OBS641124016"
"52","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.624233","-22.406585","Rio de Janeiro","PN do Itatiaia--área geral (Partes Baixa e Alta)","2018","7","OBS644427548"
"53","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.744","-22.369","Minas Gerais","Estrada das Agulhas Negras - ParNa Itatiaia","2018","7","OBS636819995"
"54","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.611037","-22.444906","Rio de Janeiro","PN do Itatiaia--Parte Baixa (Hotéis Ype, Donati, Simon; 400-800m)","2018","7","OBS637944769"
"55","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.92594","-23.22694","São Paulo","São Paulo, BR (-23,227, -44,926)","2018","7","OBS643814529"
"56","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.426492","-22.649939","São Paulo","PE Campos do Jordão--Divisa com MG","2018","7","OBS646023350"
"57","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.746156","-22.36607","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG; 1700-2200m)","2018","7","OBS661723447"
"58","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.73562","-22.356121","Minas Gerais","PN Itatiaia-Brejo da Lapa","2018","7","OBS643560074"
"59","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.397195","-22.629471","Minas Gerais","Estrada Divisa Charco/Parque ESTADUAL DE CAMPOS DO JORDÃO--MG/SP","2018","7","OBS646019721"
"60","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-49.553163","-28.278136","Santa Catarina","ParNa São Joaquim - Canion Laranjeiras","2018","7","OBS644784196"
"61","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.142555","-22.505437","São Paulo","Trilha para os Marins -- Marmelópolis-- MG.","2018","7","OBS646024774"
"62","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-48.91824","-25.339606","Paraná","Estrada do Corvo -Quatro Barras","2018","8","OBS651144268"
"63","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.397142","-22.629502","Minas Gerais","Estrada Charco/Campos Do Jordão -- Wenceslau Braz-- Mg.","2018","8","OBS659534689"
"64","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-46.038766","-22.863364","Minas Gerais","Monte Verde--área geral","2018","9","OBS662143563"
"65","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.969522","-22.878271","São Paulo","São Francisco Xavier--Serra dos Poncianos e trilhas","2018","9","OBS656164503"
"66","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.642","-22.6797","São Paulo","São Bento do Sapucaí--Estrada do Baúzinho","2018","9","OBS659947509"
"67","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.49676","-22.310296","Rio de Janeiro","Itororo Eco Lodge","2018","9","OBS658643630"
"68","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.14774","-22.509244","São Paulo","Trilha Da Base Marins Para Morro Do Careca -- Marmelópolis -- Mg.","2018","9","OBS665492772"
"69","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.82121","-23.151322","Rio de Janeiro","Estrada Da Pedra Da Macela, Rio de Janeiro, BR (-23,151, -44,821)","2018","9","OBS659130969"
"70","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.133856","-22.500172","Minas Gerais","Pico Dos Marins -- Marmelópolis--MG","2018","9","OBS655191523"
"71","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.143969","-22.50797","São Paulo","Trilha Para Morro Do Careca -- Marmelópolis-- Mg.","2018","9","OBS655189652"
"72","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.828136","-23.203227","Rio de Janeiro","(-23,2032,-44,8281)","2018","10","OBS664257002"
"73","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-42.567215","-22.221734","Rio de Janeiro","Pico de Caledonia--Trilho Alto","2018","10","OBS665323952"
"74","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.708115","-22.37026","Rio de Janeiro","(-22.3703,-44.7081)","2018","11","OBS672639178"
"75","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.840193","-23.168838","Rio de Janeiro","P2-1500","2018","11","OBS687474940"
"76","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.756255","-22.373465","Minas Gerais","(-22.3735,-44.7563)","2018","11","OBS672638642"
"77","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-47.986243","-24.049624","São Paulo","RPPN Trapangá","2018","11","OBS675081726"
"78","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.614899","-22.736117","São Paulo","São José do Barreiro--PN Serra da Bocaina","2018","11","OBS708642852"
"79","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.751598","-22.372346","Minas Gerais","Estrada Parque Itamonte","2018","12","OBS690598136"
"80","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.866096","-22.886119","São Paulo","São Francisco Xavier--Estrada do Rio Manso","2018","12","OBS686794470"
"81","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-43.01","-22.448",NA,"Serra dos Órgãos National Park - RJ","2017","1","352342@XC"
"82","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-49.684653","-28.663457","Santa Catarina","BR-Santa Catarina-Nova Veneza - Serra do Pinheiro -- Vila Maria -28,663x-49,685 ","2017","1","OBS459529558"
"83","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.816351","-23.142773","Rio de Janeiro","Cunha--Pedra da Macela","2017","1","OBS461035654"
"84","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.578719","-22.354144","Rio de Janeiro","Subida Vale do Pavão - Poço do Marimbondo","2017","1","OBS460688578"
"85","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-44.383019","-22.779198","São Paulo","BR-São Paulo-Bananal-Estrada do Ariró - -22,779x-44,383","2017","2","OBS473394627"
"86","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.589828","-22.73724","São Paulo","Campos do Jordão--área geral","2017","2","OBS463491619"
"87","Phylloscartes difficilis (H.Ihering & R.Ihering, 1907)","-45.592687","-22.655598","São Paulo","Estrada Piranguçu/São Bento do Sapucaí- lago da represa. -22,656x-45,593","2017","3","OBS476578901"
