"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Phylloscartes ventralis (Temminck, 1824)","-56.200381","-34.859517","Montevideo",NA,"2019","2","21126509"
"2","Phylloscartes ventralis (Temminck, 1824)","-58.355934","-34.613705","Ciudad de Buenos Aires",NA,"2019","4","23718246"
"3","Phylloscartes ventralis (Temminck, 1824)","-65.67062","-27.056515","Tucumán",NA,"2019","5","25223058"
"4","Phylloscartes ventralis (Temminck, 1824)","-65.862779","-27.292888","Tucumán",NA,"2019","7","30721535"
"5","Phylloscartes ventralis (Temminck, 1824)","-58.493482","-34.469161","Buenos Aires",NA,"2019","7","28546634"
"6","Phylloscartes ventralis (Temminck, 1824)","-42.412297","-22.335868","Rio de Janeiro",NA,"2019","8","31078013"
"7","Phylloscartes ventralis (Temminck, 1824)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570223342"
"8","Phylloscartes ventralis (Temminck, 1824)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564185401"
"9","Phylloscartes ventralis (Temminck, 1824)","-58.494966","-34.469344","Buenos Aires","Reserva Ribera Norte","2018","1","OBS571647272"
"10","Phylloscartes ventralis (Temminck, 1824)","-64.633333","-24.7","Salta","PN El Rey","2018","1","OBS572997510"
"11","Phylloscartes ventralis (Temminck, 1824)","-63.726843","-19.829297","Chuquisaca","Serranía Incahuasi--2.6 km S Ruinas Incahuasi","2018","1","OBS572689532"
"12","Phylloscartes ventralis (Temminck, 1824)","-55.2815","-34.285667","Lavalleja","Cerro Arequita","2018","1","OBS564924191"
"13","Phylloscartes ventralis (Temminck, 1824)","-52.063571","-29.162124","Rio Grande do Sul","(-29,162, -52,064)","2018","1","OBS569928036"
"14","Phylloscartes ventralis (Temminck, 1824)","-65.503879","-24.732498","Salta","Reserva del Huaico","2018","1","OBS572364504"
"15","Phylloscartes ventralis (Temminck, 1824)","-49.440367","-28.98337","Santa Catarina","Santa Catarina, BR (-28,983, -49,44)","2018","1","OBS564130739"
"16","Phylloscartes ventralis (Temminck, 1824)","-52.626674","-31.551659","Rio Grande do Sul","Morro Redondo--Pousada da Cachoeira, Arroio Cadeia","2018","1","OBS566777568"
"17","Phylloscartes ventralis (Temminck, 1824)","-64.644702","-24.722996","Salta","PN El rey - Chorro de los loros","2018","1","OBS572987998"
"18","Phylloscartes ventralis (Temminck, 1824)","-64.66587","-17.82745","Santa Cruz","Serrania de Siberia","2018","1","OBS570452216"
"19","Phylloscartes ventralis (Temminck, 1824)","-41.02675","-20.49277","Espírito Santo","Mata dos Caetés","2018","1","OBS564658840"
"20","Phylloscartes ventralis (Temminck, 1824)","-54.168783","-25.857317","Misiones","PP Urugua-í Seccional Uruzú","2018","1","OBS568201183"
"21","Phylloscartes ventralis (Temminck, 1824)","-52.432856","-28.081065","Rio Grande do Sul","Coxilha, Rio Grande do Sul, BR (-28,081, -52,433)","2018","1","OBS567150580"
"22","Phylloscartes ventralis (Temminck, 1824)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS573476303"
"23","Phylloscartes ventralis (Temminck, 1824)","-58.570518","-34.325505","Buenos Aires","Río Capitán","2018","1","OBS570064314"
"24","Phylloscartes ventralis (Temminck, 1824)","-50.973264","-28.877894","Rio Grande do Sul","Caxias do Sul--Criúva","2018","1","OBS565579049"
"25","Phylloscartes ventralis (Temminck, 1824)","-49.468138","-28.99531","Santa Catarina","Remanescente Bromélias","2018","1","OBS570175721"
"26","Phylloscartes ventralis (Temminck, 1824)","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","1","OBS569508411"
"27","Phylloscartes ventralis (Temminck, 1824)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564481621"
"28","Phylloscartes ventralis (Temminck, 1824)","-53.732667","-32.132167","Cerro Largo","Paso Centurión","2018","1","OBS562785596"
"29","Phylloscartes ventralis (Temminck, 1824)","-58.707032","-34.322031","Buenos Aires","Puertos","2018","1","OBS598502313"
"30","Phylloscartes ventralis (Temminck, 1824)","-65.010911","-24.310597","Jujuy","Ruta Provincial 56, Carahunco, Jujuy, AR (-24.311, -65.011)","2018","1","OBS572770141"
"31","Phylloscartes ventralis (Temminck, 1824)","-44.969468","-21.330561","Minas Gerais","Parque Quedas do Rio Bonito, Lavras, Minas Gerais, BR (-21,331, -44,969)","2018","1","OBS566031586"
"32","Phylloscartes ventralis (Temminck, 1824)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS564136873"
"33","Phylloscartes ventralis (Temminck, 1824)","-64.578988","-24.731205","Salta","PN El rey - Popayan","2018","1","OBS572997644"
"34","Phylloscartes ventralis (Temminck, 1824)","-53.73","-32.137667","Cerro Largo","Sierra de los Rios","2018","1","OBS658086779"
"35","Phylloscartes ventralis (Temminck, 1824)","-44.711873","-22.369663","Rio de Janeiro","Resende RJ","2018","1","OBS573730867"
"36","Phylloscartes ventralis (Temminck, 1824)","-74.766351","-11.42272","Junín","(-11.4227,-74.7664)","2018","1","OBS570242928"
"37","Phylloscartes ventralis (Temminck, 1824)","-50.817848","-28.948103","Rio Grande do Sul","PE Ctrle","2018","1","OBS564465373"
"38","Phylloscartes ventralis (Temminck, 1824)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577388"
"39","Phylloscartes ventralis (Temminck, 1824)","-53.959458","-25.859822","Misiones","Bio Reserva Karadya (AICA MI04)","2018","1","OBS568353242"
"40","Phylloscartes ventralis (Temminck, 1824)","-44.584091","-22.649526","São Paulo","1 Rua Olímpio, São Paulo, BR (-22,65, -44,584)","2018","1","OBS640489564"
"41","Phylloscartes ventralis (Temminck, 1824)","-49.036682","-25.507897","Paraná","Represa Piraquara 2","2018","1","OBS572528566"
"42","Phylloscartes ventralis (Temminck, 1824)","-58.57967","-34.369489","Buenos Aires","Reserva Natural Privada Delta Terra","2018","1","OBS571232938"
