"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Piculus aurulentus (Temminck, 1821)","-49.121335","-25.563425","Paraná",NA,"2019","5","27513606"
"2","Piculus aurulentus (Temminck, 1821)","-42.9866","-22.3691",NA,"Parque Municipal Montanhas de Teresópolis, Rio de Janeiro","2019","5","470782@XC"
"3","Piculus aurulentus (Temminck, 1821)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399819"
"4","Piculus aurulentus (Temminck, 1821)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570241940"
"5","Piculus aurulentus (Temminck, 1821)","-49.550357","-28.596957","Santa Catarina","Barragem do Rio São Bento, Siderópolis","2018","1","OBS573094193"
"6","Piculus aurulentus (Temminck, 1821)","-52.765059","-28.311786","Rio Grande do Sul","Pedreira","2018","1","OBS566161960"
"7","Piculus aurulentus (Temminck, 1821)","-44.615079","-22.431983","Rio de Janeiro","PN de Itatiaia--Hotel do Ypê","2018","1","OBS571217986"
"8","Piculus aurulentus (Temminck, 1821)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS571316862"
"9","Piculus aurulentus (Temminck, 1821)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571748609"
"10","Piculus aurulentus (Temminck, 1821)","-55.663948","-26.637764","Itapúa","Estancias Nueva Gambach","2018","1","OBS565804852"
"11","Piculus aurulentus (Temminck, 1821)","-42.36581","-22.392089","Rio de Janeiro","Rio Bonito de Lumiar","2018","1","OBS569019523"
"12","Piculus aurulentus (Temminck, 1821)","-46.636319","-23.452223","São Paulo","PE da Cantareira--Núcleo Pedra Grande","2018","1","OBS570470685"
"13","Piculus aurulentus (Temminck, 1821)","-53.259637","-26.357958","Santa Catarina","Palma Sola--Pasta","2018","1","OBS568360325"
"14","Piculus aurulentus (Temminck, 1821)","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS570713344"
"15","Piculus aurulentus (Temminck, 1821)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564185425"
"16","Piculus aurulentus (Temminck, 1821)","-45.656777","-22.85252","São Paulo","Estrada do Pico Agudo, Santo Antônio do Pinhal / SP - BR","2018","1","OBS569324803"
"17","Piculus aurulentus (Temminck, 1821)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577327"
"18","Piculus aurulentus (Temminck, 1821)","-55.8","-26.43","Itapúa","Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)","2018","1","OBS565240861"
