"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Piprites pileata (Temminck, 1822)","-44.7334","-22.3667",NA,"Itatiaia National Park. Agulhas Negras road","2019","3","464594@XC"
"2","Piprites pileata (Temminck, 1822)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166708"
"3","Piprites pileata (Temminck, 1822)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399851"
"4","Piprites pileata (Temminck, 1822)","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577331"
"5","Piprites pileata (Temminck, 1822)","-46.023926","-22.882438","Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)","2018","2","OBS578079812"
"6","Piprites pileata (Temminck, 1822)","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995480"
"7","Piprites pileata (Temminck, 1822)","-50.3875","-29.4244",NA,"São Francisco de Paula, FLONA,  Rio Grande do Sul","2018","3","412202@XC"
"8","Piprites pileata (Temminck, 1822)","-45.980847","-22.907252","São Paulo","Estrada dos Ferreiras, São Paulo, Sentido Trilha Do MiranteBR (-22,907, -45,981)","2018","3","OBS595859447"
"9","Piprites pileata (Temminck, 1822)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","3","OBS583668609"
"10","Piprites pileata (Temminck, 1822)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","3","OBS584232887"
"11","Piprites pileata (Temminck, 1822)","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS604774944"
"12","Piprites pileata (Temminck, 1822)","-45.229579","-22.568917","Minas Gerais","Piquete -- Trilha Do Pico Do Ataque.","2018","4","OBS604164246"
"13","Piprites pileata (Temminck, 1822)","-45.478431","-22.703137","São Paulo","Estrada da Romaria--Até pousada Sta. Maria da Serra","2018","4","OBS596981426"
"14","Piprites pileata (Temminck, 1822)","-45.588619","-22.70355","São Paulo","Campos do Jordão--Pico do Imbiri","2018","4","OBS605971018"
"15","Piprites pileata (Temminck, 1822)","-45.477483","-22.690871","São Paulo","São Paulo, BR (-22,691, -45,477)","2018","4","OBS600715417"
"16","Piprites pileata (Temminck, 1822)","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","5","OBS622140254"
"17","Piprites pileata (Temminck, 1822)","-45.588286","-22.735976","São Paulo","Campos do Jordão - SP","2018","5","OBS623543465"
"18","Piprites pileata (Temminck, 1822)","-45.232507","-22.540341","Minas Gerais","Estrada De Acesso Ao Pico Dos Marins -- Delfim Moreira","2018","5","OBS627228283"
"19","Piprites pileata (Temminck, 1822)","-47.152634","-24.016573","São Paulo","Sítio Espinheiro Negro","2018","5","OBS623123995"
"20","Piprites pileata (Temminck, 1822)","-45.588995","-22.705318","São Paulo","Campos do Jordão - SP","2018","5","OBS623853873"
"21","Piprites pileata (Temminck, 1822)","-44.746156","-22.36607","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG; 1700-2200m)","2018","6","OBS636438576"
"22","Piprites pileata (Temminck, 1822)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","7","OBS640777130"
"23","Piprites pileata (Temminck, 1822)","-45.426492","-22.649939","São Paulo","PE Campos do Jordão--Divisa com MG","2018","7","OBS646023347"
