"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Poospiza thoracica (Nordmann, 1835)","-42.593","-22.325",NA,"Parque Estadual dos Três Picos, Nova Friburgo, RJ","2018","6","438759@XC"
"2","Poospiza thoracica (Nordmann, 1835)","-42.5869","-22.3459",NA,"Pico da Caledônia, Nova Friburgo, RJ","2015","9","277790@XC"
"3","Poospiza thoracica (Nordmann, 1835)","-44.7334","-22.3667",NA,"Itatiaia National Park - Agulhas Negras road","2015","12","295828@XC"
"4","Poospiza thoracica (Nordmann, 1835)","-45.4896","-22.6895",NA,"Campos do Jordão, São Paulo","2012","1","118648@XC"
"5","Poospiza thoracica (Nordmann, 1835)","-50.17","-29.477","Rio Grande do Sul","São Francisco de Paula; Centro de Pesquisas e Conservação da Natureza Pró-Mata","2011","10","5239edf7-99a4-4e45-9803-00a66e1182fb"
"6","Poospiza thoracica (Nordmann, 1835)","-50.0118","-29.1828",NA,"Praia Grande, Santa Catarina","2011","11","174385@XC"
"7","Poospiza thoracica (Nordmann, 1835)","-49.6814","-26.7053",NA,"ZA Reserva Biológica Estadual do Sassafrás, Rodovia SC 477 divisa entre Itaiópolis e Doutor Pedrinho, Santa Catarina","2008","11","24416@XC"
"8","Poospiza thoracica (Nordmann, 1835)","-45.85","-22.65","Minas Gerais","Goncalves, Pedra de Sao Domingos","2007","3","BBB719-13"
"9","Poospiza thoracica (Nordmann, 1835)","-44.63","-22.38",NA,"Itatiaia NP, RJ","2005","8","5999@XC"
"10","Poospiza thoracica (Nordmann, 1835)","-44.75","-22.416667",NA,"Algulhas Negras road, Rio de Janeiro","2004","7","228556@XC"
"11","Poospiza thoracica (Nordmann, 1835)","-44.57","-22.5","Rio de Janeiro","ITATIAIA; PARQUE NACIONAL, KM 10","1957","3","c2584b97-ece8-40a4-a874-9ee65940f1ac"
"12","Poospiza thoracica (Nordmann, 1835)","-51.383333","-26.85","Rio de Janeiro","Macieiras","1949","12","MCZ:Orn:286115"
"13","Poospiza thoracica (Nordmann, 1835)","-55","-10",NA,NA,"1700","1","MCZ:Orn:46630"
"14","Poospiza thoracica (Nordmann, 1835)","-71","-30",NA,NA,"1700","1","MCZ:Orn:335310"
"15","Poospiza thoracica (Nordmann, 1835)","-43.234634","-22.926777","Rio de Janeiro","Rio de Janeiro",NA,NA,"URI:catalog:ROM:Birds:58616"
"16","Poospiza thoracica (Nordmann, 1835)","-58.15","6.8",NA,"Demerara (= Georgetown)",NA,NA,"http://n2t.net/ark:/65665/3c97d97e8-28dd-45cc-bcf2-82843f0ab5b8"
