"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Saltator maxillosus Cabanis, 1851","-49.585277","-27.999849","Santa Catarina",NA,"2019","5","25009669"
"2","Saltator maxillosus Cabanis, 1851","-49.5239","-26.652637","Santa Catarina","Trilha do macaco","2018","1","OBS565577383"
"3","Saltator maxillosus Cabanis, 1851","-50.808933","-28.897019","Rio Grande do Sul","PE Palanq","2018","1","OBS565386697"
"4","Saltator maxillosus Cabanis, 1851","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS570481149"
"5","Saltator maxillosus Cabanis, 1851","-44.737533","-22.358143","Minas Gerais","Itamonte MG","2018","1","OBS573730890"
"6","Saltator maxillosus Cabanis, 1851","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS642656324"
"7","Saltator maxillosus Cabanis, 1851","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663261"
"8","Saltator maxillosus Cabanis, 1851","-49.51262","-27.276021","Santa Catarina","Lontras--Três Picos","2018","2","OBS581068664"
"9","Saltator maxillosus Cabanis, 1851","-49.307269","-25.385019","Paraná","Casa do Seu Jose","2018","2","OBS606138197"
"10","Saltator maxillosus Cabanis, 1851","-50.174809","-29.480994","Rio Grande do Sul","CPCN Pró Mata PUCRS","2018","2","OBS579889006"
"11","Saltator maxillosus Cabanis, 1851","-48.811634","-25.099901","Paraná","Estrada do Taquaral - Campina Grande so Sul","2018","2","OBS577076319"
"12","Saltator maxillosus Cabanis, 1851","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484613"
"13","Saltator maxillosus Cabanis, 1851","-48.907727","-25.333925","Paraná","83420, Quatro Barras BR-PR (-25.3339,-48.9077)","2018","3","OBS593611598"
"14","Saltator maxillosus Cabanis, 1851","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923792"
"15","Saltator maxillosus Cabanis, 1851","-45.50286","-22.691557","São Paulo","Campos do Jordão--Estrada do Borboletário","2018","3","OBS592678162"
"16","Saltator maxillosus Cabanis, 1851","-49.516969","-28.504539","Santa Catarina","Santa Catarina, BR (-28,505, -49,517)","2018","4","OBS608318896"
"17","Saltator maxillosus Cabanis, 1851","-45.179165","-22.541663","Minas Gerais","Delfim Moreira--Estrada para o Pico dos Marins","2018","4","OBS604791724"
"18","Saltator maxillosus Cabanis, 1851","-49.103512","-25.733764","Paraná","Guaricana","2018","4","OBS600377015"
"19","Saltator maxillosus Cabanis, 1851","-49.518991","-28.504864","Santa Catarina","Treviso--Trilha dos Dois Dedos","2018","4","OBS608328850"
"20","Saltator maxillosus Cabanis, 1851","-43.488417","-20.097742","Minas Gerais","Santuário do Caraça--área geral","2018","4","OBS606178706"
"21","Saltator maxillosus Cabanis, 1851","-49.8767","-27.9545","Santa Catarina","Urupema","2018","4","OBS606646765"
