"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Stephanophorus diadematus (Temminck, 1823)","-58.627643","-34.065194","Buenos Aires",NA,"2019","2","20078424"
"2","Stephanophorus diadematus (Temminck, 1823)","-58.698244","-34.207558","Buenos Aires",NA,"2019","2","20384777"
"3","Stephanophorus diadematus (Temminck, 1823)","-48.7635","-25.4481",NA,"Antonina, Parana Pousada Vila Flor Sede Orninthos","2019","4","469325@XC"
"4","Stephanophorus diadematus (Temminck, 1823)","-49.585277","-27.999849","Santa Catarina",NA,"2019","5","25010143"
"5","Stephanophorus diadematus (Temminck, 1823)","-57.275472","-35.240319","Buenos Aires",NA,"2019","5","24944795"
"6","Stephanophorus diadematus (Temminck, 1823)","-54.545867","-34.787005","Maldonado",NA,"2019","7","29846431"
"7","Stephanophorus diadematus (Temminck, 1823)","-43.285833","-22.465692","Rio de Janeiro",NA,"2019","7","29937412"
"8","Stephanophorus diadematus (Temminck, 1823)","-54.624746","-34.824329","Maldonado",NA,"2019","8","30343664"
"9","Stephanophorus diadematus (Temminck, 1823)","-58.350964","-34.608063","Ciudad de Buenos Aires",NA,"2019","8","31547242"
"10","Stephanophorus diadematus (Temminck, 1823)","-53.732667","-32.132167","Cerro Largo","Paso Centurión","2018","1","OBS566024319"
"11","Stephanophorus diadematus (Temminck, 1823)","-53.762844","-32.139231","Cerro Largo","Paso Centurión Tours","2018","1","OBS569432457"
"12","Stephanophorus diadematus (Temminck, 1823)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166681"
"13","Stephanophorus diadematus (Temminck, 1823)","-54.534396","-34.781354","Rocha","Humedal Costa Bonita, Balneario Costa bonita, Ruta 10, Rocha, UY (-34,781, -54,534)","2018","1","OBS567488304"
"14","Stephanophorus diadematus (Temminck, 1823)","-58.211575","-31.871435","Entre Ríos","PN El Palmar","2018","1","OBS570112472"
"15","Stephanophorus diadematus (Temminck, 1823)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564481545"
"16","Stephanophorus diadematus (Temminck, 1823)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570316115"
"17","Stephanophorus diadematus (Temminck, 1823)","-54.548067","-34.762456","Maldonado","Unnamed Road, El Bonete, Departamento de Maldonado, UY (-34,762, -54,548)","2018","1","OBS565421013"
"18","Stephanophorus diadematus (Temminck, 1823)","-49.036682","-25.507897","Paraná","Represa Piraquara 2","2018","1","OBS572528580"
"19","Stephanophorus diadematus (Temminck, 1823)","-50.821965","-28.884815","Rio Grande do Sul","PE Jus","2018","1","OBS564729009"
"20","Stephanophorus diadematus (Temminck, 1823)","-49.172168","-25.623235","Paraná","Hogase","2018","1","OBS570723048"
"21","Stephanophorus diadematus (Temminck, 1823)","-58.57967","-34.369489","Buenos Aires","Reserva Natural Privada Delta Terra","2018","1","OBS571232939"
"22","Stephanophorus diadematus (Temminck, 1823)","-53.259637","-26.357958","Santa Catarina","Palma Sola--Pasta","2018","1","OBS568360340"
"23","Stephanophorus diadematus (Temminck, 1823)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663284"
"24","Stephanophorus diadematus (Temminck, 1823)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS564732065"
"25","Stephanophorus diadematus (Temminck, 1823)","-45.282589","-22.523847","Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,524x-45,283","2018","1","OBS568400731"
"26","Stephanophorus diadematus (Temminck, 1823)","-58.74567","-34.161021","Buenos Aires","Camping El Cielo","2018","1","OBS570231081"
"27","Stephanophorus diadematus (Temminck, 1823)","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS571142023"
"28","Stephanophorus diadematus (Temminck, 1823)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS571260711"
"29","Stephanophorus diadematus (Temminck, 1823)","-58.747649","-33.498329","Entre Ríos","Ceibas--Terraplén","2018","1","OBS626287967"
"30","Stephanophorus diadematus (Temminck, 1823)","-54.629855","-33.506584","Lavalleja","Varela - Las Talas","2018","1","OBS574941001"
"31","Stephanophorus diadematus (Temminck, 1823)","-58.655963","-34.241679","Buenos Aires","La Escondida","2018","1","OBS572599012"
"32","Stephanophorus diadematus (Temminck, 1823)","-57.713595","-34.447444","Colonia","Camino a Canteras de Riachuelo","2018","1","OBS565975586"
"33","Stephanophorus diadematus (Temminck, 1823)","-41.798814","-20.439474","Espírito Santo","PN do Caparaó--Trilha para o Pico da Bandeira (Espírito Santo)","2018","1","OBS575597988"
"34","Stephanophorus diadematus (Temminck, 1823)","-48.409262","-24.267632","São Paulo","Unknown Location - (-24.268, -48.409)","2018","1","OBS573120211"
"35","Stephanophorus diadematus (Temminck, 1823)","-58.650797","-34.244286","Buenos Aires","La Escondida","2018","1","OBS572448666"
"36","Stephanophorus diadematus (Temminck, 1823)","-50.798547","-28.972539","Rio Grande do Sul","PE Criuva","2018","1","OBS565191081"
"37","Stephanophorus diadematus (Temminck, 1823)","-50.973264","-28.877894","Rio Grande do Sul","Caxias do Sul--Criúva","2018","1","OBS564012795"
"38","Stephanophorus diadematus (Temminck, 1823)","-49.712899","-25.470515","Paraná","São Luis do Purunã","2018","1","OBS565009411"
"39","Stephanophorus diadematus (Temminck, 1823)","-50.580228","-29.442807","Rio Grande do Sul","São Francisco de Paula--área geral","2018","1","OBS572628904"
"40","Stephanophorus diadematus (Temminck, 1823)","-52.50727","-31.619215","Rio Grande do Sul","Santuário Nossa Senhora de Guadalupe","2018","1","OBS568003660"
"41","Stephanophorus diadematus (Temminck, 1823)","-55.206167","-34.279833","Lavalleja","IBA Serranías del Este","2018","1","OBS678234242"
"42","Stephanophorus diadematus (Temminck, 1823)","-41.801552","-20.506666","Espírito Santo","Espírito Santo, BR (-20,507, -41,802)","2018","1","OBS587102563"
"43","Stephanophorus diadematus (Temminck, 1823)","-46.537269","-23.68878","São Paulo","Paranapiacaba","2018","1","OBS564042932"
"44","Stephanophorus diadematus (Temminck, 1823)","-52.251389","-31.7675","Rio Grande do Sul","Dunas Laranjal","2018","1","OBS569193735"
"45","Stephanophorus diadematus (Temminck, 1823)","-53.733659","-32.132394","Cerro Largo","Paso Centurión","2018","1","OBS564606549"
"46","Stephanophorus diadematus (Temminck, 1823)","-58.707032","-34.322031","Buenos Aires","Puertos","2018","1","OBS598502289"
"47","Stephanophorus diadematus (Temminck, 1823)","-54.395169","-33.444454","Lavalleja","Escuela 20, Lavalleja","2018","1","OBS577886079"
"48","Stephanophorus diadematus (Temminck, 1823)","-55.241361","-34.891282","Maldonado","punta colorada","2018","1","OBS571245156"
"49","Stephanophorus diadematus (Temminck, 1823)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399846"
"50","Stephanophorus diadematus (Temminck, 1823)","-44.844561","-23.151116","São Paulo","(-23,1511,-44,8446)","2018","1","OBS571548233"
"51","Stephanophorus diadematus (Temminck, 1823)","-49.174916","-25.622103","Paraná","São Marcos--Pesqueiro","2018","1","OBS573233581"
"52","Stephanophorus diadematus (Temminck, 1823)","-50.818868","-28.87427","Rio Grande do Sul","Unnamed Road, Rio Grande do Sul, BR (-28,874, -50,819)","2018","1","OBS565384811"
"53","Stephanophorus diadematus (Temminck, 1823)","-58.570518","-34.325505","Buenos Aires","Río Capitán","2018","1","OBS570064312"
"54","Stephanophorus diadematus (Temminck, 1823)","-54.660914","-33.444222","Lavalleja","Varela - Bajo Hondo","2018","1","OBS570734167"
"55","Stephanophorus diadematus (Temminck, 1823)","-50.817848","-28.948103","Rio Grande do Sul","PE Ctrle","2018","1","OBS564465413"
"56","Stephanophorus diadematus (Temminck, 1823)","-58.268312","-34.685775","Buenos Aires","Reserva Natural de Bernal","2018","1","OBS569965452"
"57","Stephanophorus diadematus (Temminck, 1823)","-54.079474","-34.54563","Rocha","San Antonio","2018","1","OBS694587245"
"58","Stephanophorus diadematus (Temminck, 1823)","-58.494966","-34.469344","Buenos Aires","Reserva Ribera Norte","2018","1","OBS570818921"
"59","Stephanophorus diadematus (Temminck, 1823)","-48.474789","-27.585695","Santa Catarina","Florianópolis -- Trilha Morro da Lagoa","2018","1","OBS571963040"
"60","Stephanophorus diadematus (Temminck, 1823)","-53.5915","-33.983167","Rocha","Estación Biológica Potrerillo de Santa Teresa","2018","1","OBS691449136"
"61","Stephanophorus diadematus (Temminck, 1823)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS573266286"
"62","Stephanophorus diadematus (Temminck, 1823)","-54.707833","-34.738833","Maldonado","Arroyo José Ignacio","2018","2","OBS574273857"
"63","Stephanophorus diadematus (Temminck, 1823)","-52.505556","-31.616389","Rio Grande do Sul","Pelotas--cascata e mata no Santuário","2018","2","OBS577099727"
"64","Stephanophorus diadematus (Temminck, 1823)","-54.902844","-34.913367","Maldonado","Maldonado Marsh","2018","2","OBS579668573"
"65","Stephanophorus diadematus (Temminck, 1823)","-58.881783","-34.19895","Buenos Aires","PN Ciervo De Los Pantanos (AICA BAO4)","2018","2","OBS583541926"
"66","Stephanophorus diadematus (Temminck, 1823)","-55.077488","-34.611206","Maldonado","Sierras de El Eden","2018","2","OBS580572314"
"67","Stephanophorus diadematus (Temminck, 1823)","-53.734088","-32.138699","Cerro Largo","Paso Centurion","2018","2","OBS579413837"
"68","Stephanophorus diadematus (Temminck, 1823)","-58.147833","-32.637833","Río Negro","Puerto Viejo, San Javier","2018","2","OBS583681785"
"69","Stephanophorus diadematus (Temminck, 1823)","-49.182511","-25.709285","Paraná","Stud Don Juan","2018","2","OBS574647111"
"70","Stephanophorus diadematus (Temminck, 1823)","-53.721471","-32.155559","Cerro Largo","Paso Paiva","2018","2","OBS579810655"
"71","Stephanophorus diadematus (Temminck, 1823)","-46.317029","-22.880129","Minas Gerais","Serra do Lopo - Extrema, MG","2018","2","OBS575498258"
"72","Stephanophorus diadematus (Temminck, 1823)","-52.663056","-31.901389","Rio Grande do Sul","Pedro Osório--Passo do Ricardo (Ponte)","2018","2","OBS580408994"
"73","Stephanophorus diadematus (Temminck, 1823)","-51.991097","-26.799749","Santa Catarina","Passos Maia--PN das Araucárias","2018","2","OBS575646690"
"74","Stephanophorus diadematus (Temminck, 1823)","-49.382222","-26.441944","Santa Catarina","Cabeça do Tigre, Corupá","2018","2","OBS577812353"
"75","Stephanophorus diadematus (Temminck, 1823)","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430581"
"76","Stephanophorus diadematus (Temminck, 1823)","-44.754059","-22.37345","Minas Gerais","Parque Nacional do Itatiaia parte alta","2018","2","OBS586190724"
"77","Stephanophorus diadematus (Temminck, 1823)","-52.5825","-31.666944","Rio Grande do Sul","Morro redondo, Sítio Flor e Osória","2018","2","OBS573987806"
"78","Stephanophorus diadematus (Temminck, 1823)","-49.795586","-25.320559","Paraná","Cercado - Escarpa Devoniana - Palmeira","2018","2","OBS637079750"
"79","Stephanophorus diadematus (Temminck, 1823)","-56.019167","-31.2785","Tacuarembó","Laureles","2018","2","OBS582707238"
