"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Stephanoxis lalandi (Vieillot, 1818)","-43.285833","-22.465692","Rio de Janeiro",NA,"2019","7","29937303"
"2","Stephanoxis lalandi (Vieillot, 1818)","-41.798814","-20.439474","Espírito Santo","PN do Caparaó--Trilha para o Pico da Bandeira (Espírito Santo)","2018","1","OBS575597990"
"3","Stephanoxis lalandi (Vieillot, 1818)","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166692"
"4","Stephanoxis lalandi (Vieillot, 1818)","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399806"
"5","Stephanoxis lalandi (Vieillot, 1818)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS573266283"
"6","Stephanoxis lalandi (Vieillot, 1818)","-41.801552","-20.506666","Espírito Santo","Espírito Santo, BR (-20,507, -41,802)","2018","1","OBS587102564"
"7","Stephanoxis lalandi (Vieillot, 1818)","-45.282589","-22.523847","Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,524x-45,283","2018","1","OBS568400702"
"8","Stephanoxis lalandi (Vieillot, 1818)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663259"
"9","Stephanoxis lalandi (Vieillot, 1818)","-44.754059","-22.37345","Minas Gerais","Parque Nacional do Itatiaia parte alta","2018","2","OBS586190722"
"10","Stephanoxis lalandi (Vieillot, 1818)","-44.592969","-22.664314","São Paulo","Serra da Bocaina","2018","2","OBS575675897"
"11","Stephanoxis lalandi (Vieillot, 1818)","-46.516722","-23.777839","São Paulo","Serra do Mar - Estoril","2018","2","OBS576210494"
"12","Stephanoxis lalandi (Vieillot, 1818)","-46.023926","-22.882438","Minas Gerais","3655 Avenida das Montanhas, São Paulo, BR (-22,882, -46,024)","2018","2","OBS578079792"
"13","Stephanoxis lalandi (Vieillot, 1818)","-45.263726","-22.534092","Minas Gerais","Delfim Moreira -- MG-350 - -22,5341x-45,2637","2018","2","OBS579430591"
"14","Stephanoxis lalandi (Vieillot, 1818)","-45.294515","-22.50688","Minas Gerais","MG-350, Minas Gerais, BR (-22,507, -45,295)","2018","2","OBS581995398"
"15","Stephanoxis lalandi (Vieillot, 1818)","-44.760225","-22.377042","Rio de Janeiro","Parque Nacional do Itatiaia (parte alta), Itamonte, Minas Gerais.","2018","3","OBS593923782"
