"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Stephanoxis loddigesii (Vigors, 1831)","-53.462965","-26.782682","Santa Catarina",NA,"2019","4","24914846"
"2","Stephanoxis loddigesii (Vigors, 1831)","-49.585277","-27.999849","Santa Catarina",NA,"2019","5","25010392"
"3","Stephanoxis loddigesii (Vigors, 1831)","-49.24967","-25.51277","Paraná",NA,"2019","7","28247124"
"4","Stephanoxis loddigesii (Vigors, 1831)","-54.827281","-27.060092","Misiones",NA,"2019","8","30307985"
"5","Stephanoxis loddigesii (Vigors, 1831)","-54.827625","-27.058887","Misiones","PP Salto Encantado","2018","1","OBS572143388"
"6","Stephanoxis loddigesii (Vigors, 1831)","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564343306"
"7","Stephanoxis loddigesii (Vigors, 1831)","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS563650779"
"8","Stephanoxis loddigesii (Vigors, 1831)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS573476313"
"9","Stephanoxis loddigesii (Vigors, 1831)","-49.093372","-26.493028","Santa Catarina","Jaraguá do Sul, Santa Catarina, BR (-26,493, -49,093)","2018","1","OBS567455788"
"10","Stephanoxis loddigesii (Vigors, 1831)","-55.001013","-27.997774","Rio Grande do Sul","Vila de Pinheiro Machado, municipio de São Paulo das Missões","2018","1","OBS572335703"
"11","Stephanoxis loddigesii (Vigors, 1831)","-49.856601","-27.924502","Santa Catarina","Urupema--Morro das Antenas","2018","1","OBS570487621"
"12","Stephanoxis loddigesii (Vigors, 1831)","-52.788759","-28.521316","Rio Grande do Sul","Mato de Invernadinha-NMT(-28,521, -52,789)","2018","1","OBS568264035"
"13","Stephanoxis loddigesii (Vigors, 1831)","-52.626674","-31.551659","Rio Grande do Sul","Morro Redondo--Pousada da Cachoeira, Arroio Cadeia","2018","1","OBS566777586"
"14","Stephanoxis loddigesii (Vigors, 1831)","-52.50727","-31.619215","Rio Grande do Sul","Santuário Nossa Senhora de Guadalupe","2018","1","OBS568003674"
"15","Stephanoxis loddigesii (Vigors, 1831)","-52.251389","-31.7675","Rio Grande do Sul","Dunas Laranjal","2018","1","OBS567966551"
"16","Stephanoxis loddigesii (Vigors, 1831)","-53.907593","-27.49294","Rio Grande do Sul","Bela Vista, Três Passos, Rio Grande do Sul, BR (-27,493, -53,908)","2018","1","OBS572651275"
"17","Stephanoxis loddigesii (Vigors, 1831)","-51.115514","-29.800237","Rio Grande do Sul","São Leopoldo--Rost","2018","2","OBS582935890"
"18","Stephanoxis loddigesii (Vigors, 1831)","-52.531022","-31.58852","Rio Grande do Sul","Pousada do Moinho (-31,5885,-52,5310)","2018","2","OBS575848165"
"19","Stephanoxis loddigesii (Vigors, 1831)","-53.659925","-27.032705","Santa Catarina","LD ITA-SMO - UA1, Tunápolis, SC (-27,033, -53,66)","2018","2","OBS589546910"
"20","Stephanoxis loddigesii (Vigors, 1831)","-54.657733","-26.373429","Misiones","Cueva Miní","2018","2","OBS582364682"
"21","Stephanoxis loddigesii (Vigors, 1831)","-52.407778","-31.454167","Rio Grande do Sul","Arroio do Padre--ERS 737 (De Aº Andrade ao centro)","2018","2","OBS579386528"
"22","Stephanoxis loddigesii (Vigors, 1831)","-55.157481","-26.062623","Alto Paraná","Doctor Juan León Mallorquín, Departamento de Alto Paraná, PY (-26.063, -55.157)","2018","2","OBS574962551"
"23","Stephanoxis loddigesii (Vigors, 1831)","-49.149485","-27.686872","Santa Catarina","Morro da Boa Vista","2018","2","OBS573484625"
"24","Stephanoxis loddigesii (Vigors, 1831)","-51.977778","-31.191389","Rio Grande do Sul","São Lourenço do Sul, Estrada da Pacheca, Rincão das almas.","2018","2","OBS582923187"
"25","Stephanoxis loddigesii (Vigors, 1831)","-53.491109","-26.758625","Santa Catarina","LD ITA-SMO - UA3, S. Miguel D'Oeste, SC (-26,759, -53,491)","2018","2","OBS589546483"
"26","Stephanoxis loddigesii (Vigors, 1831)","-52.5825","-31.666944","Rio Grande do Sul","Morro redondo, Sítio Flor e Osória","2018","2","OBS573987824"
"27","Stephanoxis loddigesii (Vigors, 1831)","-52.485101","-31.45638","Rio Grande do Sul","Arroio do Padre--Arredores do Bairro Brasil pra Cristo","2018","2","OBS577396769"
