"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Synallaxis cinerascens Temminck, 1823","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469399@XC"
"2","Synallaxis cinerascens Temminck, 1823","-53.981667","-26.520717","Misiones","PP Cruce Caballero","2018","1","OBS578130966"
"3","Synallaxis cinerascens Temminck, 1823","-52.50727","-31.619215","Rio Grande do Sul","Santuário Nossa Senhora de Guadalupe","2018","1","OBS568003691"
"4","Synallaxis cinerascens Temminck, 1823","-54.168783","-25.857317","Misiones","PP Urugua-í Seccional Uruzú","2018","1","OBS572798571"
"5","Synallaxis cinerascens Temminck, 1823","-55.001013","-27.997774","Rio Grande do Sul","Vila de Pinheiro Machado, municipio de São Paulo das Missões","2018","1","OBS572335687"
"6","Synallaxis cinerascens Temminck, 1823","-50.386768","-29.423851","Rio Grande do Sul","FLONA São Francisco de Paula","2018","1","OBS564355184"
"7","Synallaxis cinerascens Temminck, 1823","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS571542905"
"8","Synallaxis cinerascens Temminck, 1823","-55.700616","-26.719488","Itapúa","Unnamed Road, Departamento de Itapúa, PY (-26.719, -55.701)","2018","1","OBS574883874"
"9","Synallaxis cinerascens Temminck, 1823","-44.969637","-21.329555","Minas Gerais","Lavras--Parque Ecológico Quedas do Rio Bonito","2018","1","OBS582437028"
"10","Synallaxis cinerascens Temminck, 1823","-49.934151","-27.951291","Santa Catarina","Urupema -- Eco-Pousada Rio dos Touros","2018","1","OBS564302034"
"11","Synallaxis cinerascens Temminck, 1823","-44.260861","-20.858358","Minas Gerais","Trilha Coruja Listrada","2018","1","OBS571321476"
"12","Synallaxis cinerascens Temminck, 1823","-52.432856","-28.081065","Rio Grande do Sul","Coxilha, Rio Grande do Sul, BR (-28,081, -52,433)","2018","1","OBS567150569"
"13","Synallaxis cinerascens Temminck, 1823","-53.907593","-27.49294","Rio Grande do Sul","Bela Vista, Três Passos, Rio Grande do Sul, BR (-27,493, -53,908)","2018","1","OBS572651285"
"14","Synallaxis cinerascens Temminck, 1823","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS573201658"
"15","Synallaxis cinerascens Temminck, 1823","-46.922493","-23.280374","São Paulo","Serra do Japi--Sítio Guapuruvú","2018","1","OBS564120600"
"16","Synallaxis cinerascens Temminck, 1823","-43.494","-20.1026","Minas Gerais","Santuário do Caraça--Tanque Grande","2018","1","OBS573491122"
"17","Synallaxis cinerascens Temminck, 1823","-55.8","-26.43","Itapúa","Parque Nacional San Rafael, Dptos. Itapúa y Caazapá (Alto Paraná)","2018","1","OBS565240846"
"18","Synallaxis cinerascens Temminck, 1823","-55.663948","-26.637764","Itapúa","Estancias Nueva Gambach","2018","1","OBS565804837"
"19","Synallaxis cinerascens Temminck, 1823","-55.535447","-26.354718","Caazapá","(-26.355, -55.535)","2018","1","OBS642534706"
"20","Synallaxis cinerascens Temminck, 1823","-43.300882","-20.685087","Minas Gerais","Piranga","2018","1","OBS585473566"
"21","Synallaxis cinerascens Temminck, 1823","-55.766833","-26.516","Itapúa","Reserva Guyra Reta","2018","1","OBS571670435"
"22","Synallaxis cinerascens Temminck, 1823","-50.818868","-28.87427","Rio Grande do Sul","Unnamed Road, Rio Grande do Sul, BR (-28,874, -50,819)","2018","1","OBS565179345"
"23","Synallaxis cinerascens Temminck, 1823","-50.816665","-28.884787","Rio Grande do Sul","Caxias do Sul--Cânion dos Palanquinhos","2018","1","OBS565579264"
"24","Synallaxis cinerascens Temminck, 1823","-52.562579","-28.556386","Rio Grande do Sul","Estrada para UHE Ernestina","2018","1","OBS565875039"
"25","Synallaxis cinerascens Temminck, 1823","-43.488417","-20.097742","Minas Gerais","Santuário do Caraça--área geral","2018","1","OBS573499918"
"26","Synallaxis cinerascens Temminck, 1823","-45.282589","-22.523847","Minas Gerais","BR-Minas Gerais-Delfim Moreira-Unnamed Rd - -22,524x-45,283","2018","1","OBS568400741"
"27","Synallaxis cinerascens Temminck, 1823","-44.756815","-22.373522","Minas Gerais","PN do Itatiaia--Agulhas Negras Road (MG and RJ; 1700-2400m)","2018","1","OBS572166696"
"28","Synallaxis cinerascens Temminck, 1823","-52.626674","-31.551659","Rio Grande do Sul","Morro Redondo--Pousada da Cachoeira, Arroio Cadeia","2018","1","OBS566777597"
"29","Synallaxis cinerascens Temminck, 1823","-52.765059","-28.311786","Rio Grande do Sul","Pedreira","2018","1","OBS566161962"
"30","Synallaxis cinerascens Temminck, 1823","-44.969468","-21.330561","Minas Gerais","Parque Quedas do Rio Bonito, Lavras, Minas Gerais, BR (-21,331, -44,969)","2018","1","OBS566031607"
"31","Synallaxis cinerascens Temminck, 1823","-53.285966","-26.304957","Santa Catarina","Palma Sola - Fazenda Pazini","2018","1","OBS568361368"
"32","Synallaxis cinerascens Temminck, 1823","-45.247181","-22.567078","Minas Gerais","Unnamed Road, Minas Gerais, BR (-22,567, -45,247)","2018","1","OBS568399847"
