"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Syndactyla rufosuperciliata oleaginea (P.L.Sclater, 1884)","-65.4227","-24.68",NA,"Salta: Vaqueros, 1400 m","2019","1","457342@XC"
"2","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-65.682748","-27.053531","Tucumán",NA,"2019","1","19948101"
"3","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-56.563","-21.05",NA,"Bonito,Mato Grosso do Sul State","2019","3","461371@XC"
"4","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469407@XC"
"5","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-65.661396","-26.990453","Tucumán",NA,"2019","5","25221872"
"6","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-65.862779","-27.292888","Tucumán",NA,"2019","7","30722513"
"7","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-48.412757","-24.26821","São Paulo","PE Intervales","2018","1","OBS571316749"
"8","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-64.633333","-24.7","Salta","PN El Rey","2018","1","OBS581273106"
"9","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-54.168783","-25.857317","Misiones","PP Urugua-í Seccional Uruzú","2018","1","OBS572827701"
"10","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-53.767","-32.249833","Cerro Largo","IBA Sierra de los Ríos","2018","1","OBS571926302"
"11","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-53.981667","-26.520717","Misiones","PP Cruce Caballero","2018","1","OBS578130861"
"12","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-52.267593","-31.911118","Rio Grande do Sul","Rio Grande--Estrada entre Barra Falsa e Ilha da Torotama","2018","1","OBS569555844"
"13","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-64.578988","-24.731205","Salta","PN El rey - Popayan","2018","1","OBS572987295"
"14","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-65.321623","-24.172518","Jujuy","Los Perales","2018","1","OBS570462773"
"15","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571742232"
"16","Syndactyla rufosuperciliata (Lafresnaye, 1832)","-64.66587","-17.82745","Santa Cruz","Serrania de Siberia","2018","1","OBS650433894"
