"","name","longitude","latitude","state","locality","year","month","identifier"
"1","Tangara desmaresti (Vieillot, 1819)","-48.829","-25.49",NA,"Sede Ornithos, Morretes, Paraná","2019","4","469402@XC"
"2","Tangara desmaresti (Vieillot, 1819)","-43.087692","-22.309055","Rio de Janeiro",NA,"2019","7","29936457"
"3","Tangara desmaresti (Vieillot, 1819)","-46.0387","-22.863818","Minas Gerais",NA,"2019","7","28975379"
"4","Tangara desmaresti (Vieillot, 1819)","-44.615256","-22.43387","Rio de Janeiro",NA,"2019","8","31498181"
"5","Tangara desmaresti (Vieillot, 1819)","-47.152638","-24.016755","São Paulo",NA,"2019","8","31471515"
"6","Tangara desmaresti (Vieillot, 1819)","-46.743426","-23.984831","São Paulo","PE da Serra do Mar--Núcleo Curucutu","2018","1","OBS570223447"
"7","Tangara desmaresti (Vieillot, 1819)","-45.163913","-23.319735","São Paulo","Pousada Oikos (Josiél Briet)","2018","1","OBS571099726"
"8","Tangara desmaresti (Vieillot, 1819)","-44.584091","-22.649526","São Paulo","1 Rua Olímpio, São Paulo, BR (-22,65, -44,584)","2018","1","OBS640489484"
"9","Tangara desmaresti (Vieillot, 1819)","-45.459795","-22.741554","São Paulo","Deck Ribeirão Grande Pindamonhangaba SP(-22,773, -45,463)","2018","1","OBS564602384"
"10","Tangara desmaresti (Vieillot, 1819)","-45.520306","-22.838528","São Paulo","Pindamonhangaba--PNM do Trabiju","2018","1","OBS567680384"
"11","Tangara desmaresti (Vieillot, 1819)","-45.656777","-22.85252","São Paulo","Estrada do Pico Agudo, Santo Antônio do Pinhal / SP - BR","2018","1","OBS569324805"
"12","Tangara desmaresti (Vieillot, 1819)","-44.724612","-22.36484","Rio de Janeiro","PN do Itatiaia--Agulhas Negras Road (RJ; 2200-2400m)","2018","1","OBS563663265"
"13","Tangara desmaresti (Vieillot, 1819)","-46.636319","-23.452223","São Paulo","PE da Cantareira--Núcleo Pedra Grande","2018","1","OBS570470655"
"14","Tangara desmaresti (Vieillot, 1819)","-46.676949","-23.371115","São Paulo","Caieiras--Bairro Alpes de Caieiras","2018","1","OBS563938952"
"15","Tangara desmaresti (Vieillot, 1819)","-44.844561","-23.151116","São Paulo","(-23,1511,-44,8446)","2018","1","OBS571548241"
"16","Tangara desmaresti (Vieillot, 1819)","-46.321664","-23.772856","São Paulo","Rodovia Dep.Antonio Adib Chammas","2018","1","OBS570411164"
"17","Tangara desmaresti (Vieillot, 1819)","-46.922493","-23.280374","São Paulo","Serra do Japi--Sítio Guapuruvú","2018","1","OBS564377838"
"18","Tangara desmaresti (Vieillot, 1819)","-41.347604","-20.681301","Espírito Santo","175 Rua Raimundo De Andrade, Espírito Santo, BR (-20,681, -41,348)","2018","1","OBS577936131"
"19","Tangara desmaresti (Vieillot, 1819)","-49.093372","-26.493028","Santa Catarina","Jaraguá do Sul, Santa Catarina, BR (-26,493, -49,093)","2018","1","OBS567455796"
"20","Tangara desmaresti (Vieillot, 1819)","-41.383583","-20.675866","Espírito Santo","Cantagalo","2018","1","OBS588408282"
"21","Tangara desmaresti (Vieillot, 1819)","-46.396079","-23.324196","São Paulo","Guarulhos--AMBEV/PE Itaberaba","2018","1","OBS569291330"
"22","Tangara desmaresti (Vieillot, 1819)","-46.29916","-23.777098","São Paulo","Vila de Paranapiacaba","2018","1","OBS570260025"
"23","Tangara desmaresti (Vieillot, 1819)","-43.000059","-22.471875","Rio de Janeiro","PN Serra dos Orgaos","2018","1","OBS569498021"
